N_params_B,D_tokens_B,Q_score,B7_loss,B8_loss,B8_minus_B7
4.0,150.0,1.0,2.2102,2.1522,-0.05799999999999983
4.0,300.0,0.1,2.4125,0.5,-1.9125
4.0,300.0,0.2,2.3793,0.5,-1.8793000000000002
4.0,300.0,0.3,2.2697,0.7051,-1.5646
4.0,300.0,0.4,2.3711,0.897,-1.4741000000000002
4.0,300.0,0.5,2.2988,1.1071,-1.1917
4.0,300.0,0.6,2.2294,1.3625,-0.8669
4.0,300.0,0.7,2.2329,1.5086,-0.7242999999999999
4.0,300.0,0.8,2.1962,1.7422,-0.4540000000000002
4.0,300.0,0.9,2.1753,1.9926,-0.18270000000000008
4.0,300.0,1.0,2.1975,2.2315,0.03400000000000025
6.9,10.0,0.1,2.7585,0.5,-2.2585
6.9,10.0,0.2,2.6605,0.5272,-2.1332999999999998
6.9,10.0,0.3,2.72,0.7496,-1.9704000000000002
6.9,10.0,0.4,2.6823,1.0046,-1.6777000000000002
6.9,10.0,0.5,2.6118,1.2545,-1.3573000000000002
6.9,10.0,0.6,2.5269,1.4702,-1.0567
6.9,10.0,0.7,2.5613,1.7949,-0.7664000000000002
6.9,10.0,0.8,2.5341,2.0045,-0.5295999999999998
6.9,10.0,0.9,2.5395,2.2827,-0.2567999999999997
6.9,10.0,1.0,2.4679,2.514,0.046099999999999586
6.9,50.0,0.1,2.5548,0.5,-2.0548
6.9,50.0,0.2,2.4799,0.5,-1.9799000000000002
6.9,50.0,0.3,2.4833,0.6906,-1.7927
6.9,50.0,0.4,2.4979,0.9193,-1.5786
6.9,50.0,0.5,2.4529,1.1536,-1.2993000000000001
6.9,50.0,0.6,2.4093,1.3376,-1.0717
6.9,50.0,0.7,2.3751,1.6134,-0.7617000000000003
6.9,50.0,0.8,2.2784,1.8718,-0.4066000000000001
6.9,50.0,0.9,2.347,2.0446,-0.3024
6.9,50.0,1.0,2.2632,2.2898,0.02660000000000018
6.9,150.0,0.1,2.3272,0.5,-1.8272
6.9,150.0,0.2,2.3658,0.5,-1.8658000000000001
6.9,150.0,0.3,2.3708,0.647,-1.7238
6.9,150.0,0.4,2.3438,0.8733,-1.4705
6.9,150.0,0.5,2.2227,1.1217,-1.1010000000000002
6.9,150.0,0.6,2.2064,1.3204,-0.8859999999999999
6.9,150.0,0.7,2.2344,1.4831,-0.7512999999999999
6.9,150.0,0.8,2.2296,1.7305,-0.4991000000000001
6.9,150.0,0.9,2.2482,2.0057,-0.24250000000000016
6.9,150.0,1.0,2.1506,2.2001,0.0495000000000001
6.9,300.0,0.1,2.3408,0.5,-1.8408000000000002
6.9,300.0,0.2,2.3195,0.5,-1.8195000000000001
6.9,300.0,0.3,2.3002,0.6383,-1.6618999999999997
6.9,300.0,0.4,2.3167,0.8495,-1.4672
6.9,300.0,0.5,2.2738,1.0664,-1.2074
6.9,300.0,0.6,2.2275,1.2789,-0.9486000000000001
6.9,300.0,0.7,2.1672,1.4947,-0.6724999999999999
6.9,300.0,0.8,2.1189,1.6963,-0.4226000000000001
6.9,300.0,0.9,2.1052,1.9181,-0.18710000000000004
6.9,300.0,1.0,2.1363,2.1543,0.018000000000000238
