source,N,D,Q_slope,points
B8,6.9,100.0,1.9458649561107362,12
B8,6.9,150.0,1.9206063470627952,12
B8,6.9,300.0,1.8442775151924375,12
B8,6.9,500.0,1.8342457798784606,12
B8,6.9,1000.0,1.7621330182309252,12
B8,6.9,2000.0,1.7273504388926404,12
B8,12.0,5.0,2.4170189061444973,12
B8,12.0,10.0,2.233524645509791,12
B8,12.0,20.0,2.140718433490885,12
B8,12.0,50.0,1.982848075624578,12
B8,12.0,100.0,1.9193504388926401,12
B8,12.0,150.0,1.8672930452397034,12
B8,12.0,300.0,1.7956920999324781,12
B8,12.0,500.0,1.7701343686698177,12
B8,12.0,1000.0,1.7430560432140452,12
B8,12.0,2000.0,1.7084274139095208,12
B8,20.0,5.0,2.4101762322754894,12
B8,20.0,10.0,2.2496583389601623,12
B8,20.0,20.0,2.111028359216746,12
B8,20.0,50.0,2.005372045914923,12
B8,20.0,100.0,1.8844706279540853,12
B8,20.0,150.0,1.881742066171506,12
B8,20.0,300.0,1.7673679945982446,12
B8,20.0,500.0,1.7713119513841997,12
B8,20.0,1000.0,1.719693450371371,12
B8,20.0,2000.0,1.6847886563133019,12
B8,40.0,5.0,2.360497636731938,12
B8,40.0,10.0,2.2163875759621883,12
B8,40.0,20.0,2.0850742741390955,12
B8,40.0,50.0,1.972592167454423,12
B8,40.0,100.0,1.8682802160702225,12
B8,40.0,150.0,1.8229878460499664,12
B8,40.0,300.0,1.7324827819041189,12
B8,40.0,500.0,1.703,12
B8,40.0,1000.0,1.644368669817691,12
B8,40.0,2000.0,1.609086428089129,12
B8,70.0,5.0,2.382284942606347,12
B8,70.0,10.0,2.191704253882512,12
B8,70.0,20.0,2.0797521944632007,12
B8,70.0,50.0,1.964560432140446,12
B8,70.0,100.0,1.845438217420662,12
B8,70.0,150.0,1.7942984469952739,12
B8,70.0,300.0,1.7477096556380827,12
B8,70.0,500.0,1.7195111411208648,12
B8,70.0,1000.0,1.6453517893315333,12
B8,70.0,2000.0,1.620967589466577,12
B8,120.0,5.0,2.3220452397029043,12
B8,120.0,10.0,2.187124915597569,12
B8,120.0,20.0,2.022996623902768,12
B8,120.0,50.0,1.933588116137745,12
B8,120.0,100.0,1.8148244429439573,12
B8,120.0,150.0,1.806190411883862,12
B8,120.0,300.0,1.737465901417961,12
B8,120.0,500.0,1.6995746117488186,12
B8,120.0,1000.0,1.636487508440243,12
B8,120.0,2000.0,1.599172856178258,12
B8,300.0,5.0,2.3024821066846726,12
B8,300.0,10.0,2.183145847400405,12
B8,300.0,20.0,2.0300621201890623,12
B8,300.0,50.0,1.8976644159351792,12
B8,300.0,100.0,1.7806927751519244,12
B8,300.0,150.0,1.791664415935179,12
B8,300.0,300.0,1.6794699527346388,12
B8,300.0,500.0,1.634913571910871,12
B8,300.0,1000.0,1.6272397029034436,12
B8,300.0,2000.0,1.5564213369345035,12
B8,700.0,5.0,2.324454422687374,12
B8,700.0,10.0,2.1271566509115467,12
B8,700.0,20.0,1.9894632005401756,12
B8,700.0,50.0,1.8501498987170832,12
B8,700.0,100.0,1.7690729237002027,12
B8,700.0,150.0,1.6987940580688725,12
B8,700.0,300.0,1.6935577312626604,12
B8,700.0,500.0,1.6288332207967593,12
B8,700.0,1000.0,1.5925833896016206,12
B8,700.0,2000.0,1.5516279540850777,12
