p_policy,N_params_B,D_tokens_B,Q_score,loss,factor,dL_dN,dL_dD,dL_dQ_B,improvement_elasticity_N,improvement_elasticity_D,improvement_elasticity_Q_B
Q1_reference,10.0,100.0,0.7,2.2584117756900786,1.0,-0.007339343713541276,-0.0009744901381876951,-0.2331617175558496,0.03249781015376912,0.04314935605088805,0.07226901845179382
Q1_reference,10.0,300.0,0.3,2.2536668808162212,1.0,-0.009719026280305434,-0.0002542121291375246,-0.2157979329263066,0.0431253898392714,0.033839800988527916,0.028726241854539307
Q1_reference,10.0,300.0,0.5,2.21050729423096,1.0,-0.008529184996923355,-0.0002436753305425178,-0.2157979329263066,0.038584740340749143,0.03307050800218594,0.048811857235102035
Q1_reference,10.0,300.0,0.7,2.167347707645699,1.0,-0.007339343713541276,-0.00023313853194751103,-0.2157979329263066,0.03386324994208569,0.032270576307401995,0.06969742442134647
ridge_hull_optimum,0.1,30.0,0.3,2.8272899530248186,0.8541036111993697,-2.6187439655570572,-0.004196768058854477,-0.4493967158325634,0.09262382030379851,0.04453135117285549,0.04768489153563145
ridge_hull_optimum,0.1,30.0,0.5,2.7374106098583058,0.8541036111993697,-2.5171191918679847,-0.004106772881549719,-0.4493967158325634,0.09195256213309834,0.04500719987085491,0.08208427230721976
ridge_hull_optimum,0.1,30.0,0.7,2.6475312666917934,0.8541036111993697,-2.415494418178912,-0.004016777704244962,-0.4493967158325634,0.09123572773503742,0.04551535713416638,0.11881925816720307
ridge_hull_optimum,0.1,100.0,0.3,2.6995821576849433,0.8541036111993697,-2.6187439655570572,-0.0008863126524871376,-0.4331439539332506,0.09700552947063446,0.0328314754179293,0.04813455512367492
ridge_hull_optimum,0.1,100.0,0.5,2.612953366898293,0.8541036111993697,-2.5171191918679847,-0.0008593140992957105,-0.4331439539332506,0.09633234269526714,0.032886698636943504,0.08288398090460647
ridge_hull_optimum,0.1,100.0,0.7,2.526324576111643,0.8541036111993697,-2.415494418178912,-0.0008323155461042831,-0.4331439539332506,0.09561298817338375,0.032945709113328975,0.12001655314612923
ridge_hull_optimum,0.1,300.0,0.3,2.6158718198552604,0.8541036111993697,-2.6187439655570572,-0.00021712349750704029,-0.4183134827770698,0.10010979688224768,0.024900703756851588,0.04797408033550538
ridge_hull_optimum,0.1,300.0,0.5,2.5322091232998467,0.8541036111993697,-2.5171191918679847,-0.00020812397977656454,-0.4183134827770698,0.09940408036235975,0.024657202818858963,0.08259852611066042
ridge_hull_optimum,0.1,300.0,0.7,2.448546426744433,0.8541036111993697,-2.415494418178912,-0.0001991244620460888,-0.4183134827770698,0.09865013755898162,0.02439706184916122,0.11958908956987968
ridge_hull_optimum,1.0,30.0,0.3,2.3837594316685684,0.8541036111993697,-0.1391851265755424,-0.004196768058854477,-0.33239687134488743,0.058388914890676075,0.052817008332718164,0.04183268667076255
ridge_hull_optimum,1.0,30.0,0.5,2.317280057399591,0.8541036111993697,-0.12902264920663517,-0.004106772881549719,-0.33239687134488743,0.05567848771435163,0.053167154333839096,0.07172134207159601
ridge_hull_optimum,1.0,30.0,0.7,2.2508006831306138,0.8541036111993697,-0.1188601718377279,-0.004016777704244962,-0.33239687134488743,0.052807950845477174,0.053537984074068304,0.10337557282850661
ridge_hull_optimum,1.0,100.0,0.3,2.2560516363286935,0.8541036111993697,-0.1391851265755424,-0.0008863126524871376,-0.31614410944557464,0.061694122747137314,0.03928600915932259,0.04203947786763081
ridge_hull_optimum,1.0,100.0,0.5,2.1928228144395785,0.8541036111993697,-0.12902264920663517,-0.0008593140992957105,-0.31614410944557464,0.05883861128999134,0.039187575650763466,0.07208610457803265
ridge_hull_optimum,1.0,100.0,0.7,2.1295939925504634,0.8541036111993697,-0.1188601718377279,-0.0008323155461042831,-0.31614410944557464,0.05581353640811952,0.03908329705172947,0.1039169331741333
ridge_hull_optimum,1.0,300.0,0.3,2.1723412984990107,0.8541036111993697,-0.1391851265755424,-0.00021712349750704029,-0.3013136382893939,0.06407148207867383,0.029984721690426284,0.04161136721438587
ridge_hull_optimum,1.0,300.0,0.5,2.1120785708411316,0.8541036111993697,-0.12902264920663517,-0.00020812397977656454,-0.3013136382893939,0.061087996908776046,0.02956196554188979,0.07133106752022872
ridge_hull_optimum,1.0,300.0,0.7,2.0518158431832534,0.8541036111993697,-0.1188601718377279,-0.0001991244620460888,-0.3013136382893939,0.057929259213304635,0.029114376327822968,0.10279652898836589
ridge_hull_optimum,10.0,30.0,0.3,2.136283154515112,0.8541036111993697,-0.008301055443350448,-0.004196768058854477,-0.21539702685721143,0.03885746805523353,0.05893555894008416,0.030248381597069
ridge_hull_optimum,10.0,30.0,0.5,2.0932037491436697,0.8541036111993697,-0.007284807706459723,-0.004106772881549719,-0.21539702685721143,0.034802191183920535,0.05885866891691458,0.05145151945799123
ridge_hull_optimum,10.0,30.0,0.7,2.0501243437722274,0.8541036111993697,-0.006268559969568997,-0.004016777704244962,-0.21539702685721143,0.030576486682924075,0.058778547502939656,0.07354574333897071
ridge_hull_optimum,10.0,100.0,0.3,2.0085753591752367,0.8541036111993697,-0.008301055443350448,-0.0008863126524871376,-0.19914426495789864,0.04132807567030513,0.044126432619937955,0.029744106545199
ridge_hull_optimum,10.0,100.0,0.5,1.9687465061836569,0.8541036111993697,-0.007284807706459723,-0.0008593140992957105,-0.19914426495789864,0.037002263539662385,0.04364777774064267,0.050576411013912734
ridge_hull_optimum,10.0,100.0,0.7,1.928917653192077,0.8541036111993697,-0.006268559969568997,-0.0008323155461042831,-0.19914426495789864,0.03249781015376911,0.043149356050888044,0.07226901845179382
ridge_hull_optimum,10.0,300.0,0.3,1.924865021345554,0.8541036111993697,-0.008301055443350448,-0.00021712349750704029,-0.18431379380171786,0.0431253898392714,0.033839800988527916,0.02872624185453931
ridge_hull_optimum,10.0,300.0,0.5,1.8880022625852104,0.8541036111993697,-0.007284807706459723,-0.00020812397977656454,-0.18431379380171786,0.038584740340749143,0.033070508002185944,0.04881185723510204
ridge_hull_optimum,10.0,300.0,0.7,1.8511395038248672,0.8541036111993697,-0.006268559969568997,-0.0001991244620460888,-0.18431379380171786,0.03386324994208569,0.03227057630740199,0.06969742442134647
QA_direct,0.1,30.0,0.3,2.9189964241585447,0.8818074652316975,-2.703686002586915,-0.00433289516121712,-0.4639734262629876,0.09262382030379854,0.04453135117285549,0.04768489153563146
QA_direct,0.1,30.0,0.5,2.8262017389059473,0.8818074652316975,-2.598764909974197,-0.004239980884609922,-0.4639734262629876,0.09195256213309835,0.04500719987085491,0.08208427230721976
QA_direct,0.1,30.0,0.7,2.73340705365335,0.8818074652316975,-2.493843817361479,-0.004147066608002723,-0.4639734262629876,0.09123572773503744,0.04551535713416638,0.11881925816720308
QA_direct,0.1,100.0,0.3,2.7871462764453807,0.8818074652316975,-2.703686002586915,-0.000915061244612897,-0.4471934869376849,0.09700552947063448,0.0328314754179293,0.04813455512367491
QA_direct,0.1,100.0,0.5,2.6977075790578438,0.8818074652316975,-2.598764909974197,-0.0008871869616307376,-0.4471934869376849,0.09633234269526715,0.03288669863694351,0.08288398090460647
QA_direct,0.1,100.0,0.7,2.608268881670307,0.8818074652316975,-2.493843817361479,-0.000859312678648578,-0.4471934869376849,0.09561298817338375,0.032945709113328975,0.12001655314612922
QA_direct,0.1,300.0,0.3,2.700720695465076,0.8818074652316975,-2.703686002586915,-0.00022416615322591352,-0.4318819720266785,0.1001097968822477,0.024900703756851588,0.04797408033550539
QA_direct,0.1,300.0,0.5,2.6143443010597407,0.8818074652316975,-2.598764909974197,-0.00021487472556519366,-0.4318819720266785,0.09940408036235976,0.02465720281885896,0.08259852611066042
QA_direct,0.1,300.0,0.7,2.527967906654405,0.8818074652316975,-2.493843817361479,-0.00020558329790447384,-0.4318819720266785,0.09865013755898164,0.024397061849161225,0.11958908956987971
QA_direct,1.0,30.0,0.3,2.46107946928133,0.8818074652316975,-0.1436997596710578,-0.00433289516121712,-0.3431785543676415,0.05838891489067607,0.05281700833271816,0.04183268667076254
QA_direct,1.0,30.0,0.5,2.3924437584078015,0.8818074652316975,-0.13320765040978602,-0.004239980884609922,-0.3431785543676415,0.05567848771435163,0.0531671543338391,0.07172134207159601
QA_direct,1.0,30.0,0.7,2.3238080475342735,0.8818074652316975,-0.12271554114851421,-0.004147066608002723,-0.3431785543676415,0.05280795084547718,0.053537984074068304,0.10337557282850661
QA_direct,1.0,100.0,0.3,2.329229321568166,0.8818074652316975,-0.1436997596710578,-0.000915061244612897,-0.32639861504233886,0.061694122747137314,0.03928600915932258,0.04203947786763081
QA_direct,1.0,100.0,0.5,2.263949598559698,0.8818074652316975,-0.13320765040978602,-0.0008871869616307376,-0.32639861504233886,0.05883861128999134,0.03918757565076347,0.07208610457803265
QA_direct,1.0,100.0,0.7,2.1986698755512304,0.8818074652316975,-0.12271554114851421,-0.000859312678648578,-0.32639861504233886,0.05581353640811952,0.03908329705172947,0.10391693317413331
QA_direct,1.0,300.0,0.3,2.2428037405878616,0.8818074652316975,-0.1436997596710578,-0.00022416615322591352,-0.31108710013133245,0.06407148207867383,0.029984721690426284,0.041611367214385866
QA_direct,1.0,300.0,0.5,2.180586320561595,0.8818074652316975,-0.13320765040978602,-0.00021487472556519366,-0.31108710013133245,0.06108799690877603,0.029561965541889782,0.07133106752022872
QA_direct,1.0,300.0,0.7,2.118368900535329,0.8818074652316975,-0.12271554114851421,-0.00020558329790447384,-0.31108710013133245,0.05792925921330464,0.02911437632782297,0.10279652898836589
QA_direct,10.0,30.0,0.3,2.2055760083426468,0.8818074652316975,-0.008570309928756388,-0.00433289516121712,-0.2223836824722954,0.03885746805523353,0.05893555894008415,0.030248381597068996
QA_direct,10.0,30.0,0.5,2.1610992718481876,0.8818074652316975,-0.0075210990026292075,-0.004239980884609922,-0.2223836824722954,0.03480219118392053,0.05885866891691458,0.05145151945799123
QA_direct,10.0,30.0,0.7,2.1166225353537285,0.8818074652316975,-0.006471888076502026,-0.004147066608002723,-0.2223836824722954,0.03057648668292407,0.058778547502939656,0.07354574333897071
QA_direct,10.0,100.0,0.3,2.0737258606294824,0.8818074652316975,-0.008570309928756388,-0.000915061244612897,-0.20560374314699273,0.04132807567030513,0.044126432619937955,0.029744106545199
QA_direct,10.0,100.0,0.5,2.0326051120000836,0.8818074652316975,-0.0075210990026292075,-0.0008871869616307376,-0.20560374314699273,0.037002263539662385,0.04364777774064268,0.05057641101391274
QA_direct,10.0,100.0,0.7,1.9914843633706851,0.8818074652316975,-0.006471888076502026,-0.000859312678648578,-0.20560374314699273,0.03249781015376911,0.043149356050888044,0.07226901845179382
QA_direct,10.0,300.0,0.3,1.987300279649178,0.8818074652316975,-0.008570309928756388,-0.00022416615322591352,-0.19029222823598632,0.0431253898392714,0.033839800988527916,0.02872624185453931
QA_direct,10.0,300.0,0.5,1.9492418340019808,0.8818074652316975,-0.0075210990026292075,-0.00021487472556519366,-0.19029222823598632,0.038584740340749143,0.03307050800218594,0.04881185723510204
QA_direct,10.0,300.0,0.7,1.911183388354784,0.8818074652316975,-0.006471888076502026,-0.00020558329790447384,-0.19029222823598632,0.033863249942085685,0.032270576307401995,0.06969742442134647
