dataset,model,scope,target,ridge_rmse,candidate_rmse,candidate_cv_rmse,role
Q1,ridge_vs_second_order_candidate,test_1B,dm_mathematics,2.665456736794217,2.5546937829089056,1.2184707390759038,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,github,0.6119728112520411,0.5652880924850635,0.6353849024109964,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,github,2.634377819388772,2.5926997843682638,0.6353849024109964,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,github,4.439418262274766,4.028707412058611,0.6353849024109964,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,stackexchange,0.4477524950460622,0.437945117787601,0.5037020653542099,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,stackexchange,1.765063681173524,1.7377832981270027,0.5037020653542099,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,stackexchange,3.544596343714017,3.276416204613548,0.5037020653542099,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,gutenberg_pg_19,0.2582268568762293,0.2477004316565679,0.24331171527557202,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,gutenberg_pg_19,1.011357088697703,1.0084229399961435,0.24331171527557202,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,gutenberg_pg_19,2.669301672884148,2.560825402384246,0.24331171527557202,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,pile_cc,0.15389646084425954,0.13681705888257328,0.13437529229360928,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,pile_cc,1.078855340129898,1.070865331040542,0.13437529229360928,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,pile_cc,2.681493636789782,2.5239142293115444,0.13437529229360928,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,ubuntu_irc,0.6505137539938817,0.6527497698272708,0.6950774640474308,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,ubuntu_irc,2.0373596215892156,2.0296595080440842,0.6950774640474308,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,ubuntu_irc,4.108484094455945,3.8764821839244035,0.6950774640474308,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,hackernews,0.19011172175825378,0.1859430597917087,0.19441943140917384,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,hackernews,1.0090733189537513,1.002984998761536,0.19441943140917384,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,hackernews,2.3221611816054737,2.2041300647568667,0.19441943140917384,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,pubmed_abstracts,0.262821817152922,0.2545090202062028,0.30145577111046523,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,pubmed_abstracts,1.374699292579416,1.368204291581032,0.30145577111046523,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,pubmed_abstracts,3.0290228765992704,2.9428721948423098,0.30145577111046523,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,uspto_backgrounds,0.27081186457228196,0.2676313140939478,0.2755848400211763,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,uspto_backgrounds,1.4218594853804105,1.415034060869874,0.2755848400211763,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,uspto_backgrounds,2.8923224014166613,2.8359802258055575,0.2755848400211763,Q1_derived_diagnostic_metrics_only
B7,joint,B7_semi_synthetic,val_loss,,0.048410127570285066,,B7_form_comparison_not_A_to_B_validation
B7,staged,B7_semi_synthetic,val_loss,,0.04918831032983102,,B7_form_comparison_not_A_to_B_validation
