type,resource_gate,horizon_months,compute_scenario,scenario_union_lower,scenario_union_upper,with_fixed_bias_stress_lower,with_fixed_bias_stress_upper,bootstrap_draws,meaning,model_selected_in_diagnostics,resource_effect_identified
non_pretrained,primary,12,historical,37.754788736630566,79.93297073847359,31.589990204401772,86.09776927070237,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,12,stopped,37.754788736630566,64.61224187670341,31.589990204401772,70.77704040893221,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,24,historical,37.754788736630566,94.80601739791736,31.589990204401772,100.0,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,24,half,37.754788736630566,89.65108580255051,31.589990204401772,95.8158843347793,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,24,quarter,37.754788736630566,85.6485495116236,31.589990204401772,91.81334804385239,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,24,stopped,37.754788736630566,82.71651408897162,31.589990204401772,88.88131262120041,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
pretrained,primary,12,historical,1.6922042485625453,60.363218352122615,0.0,76.18277886622162,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,12,half,1.6922042485625453,53.07382438613857,0.0,68.89338490023758,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,12,quarter,1.6922042485625453,49.5452801359879,0.0,65.36484065008692,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,12,stopped,1.6922042485625453,45.91149936957547,0.0,61.73105988367449,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,24,historical,0.1648284140401244,86.77831816160199,0.0,100.0,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,24,half,0.1648284140401244,80.17571351625242,0.0,95.99527403035142,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,24,quarter,0.1648284140401244,74.56006774981533,0.0,90.37962826391434,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,primary,24,stopped,0.1648284140401244,68.72702355652756,0.0,84.54658407062657,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,12,historical,1.6922042485625453,58.45171143488922,0.0,74.1481779036005,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,12,half,1.6922042485625453,52.19423573154019,0.0,67.89070220025147,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,12,quarter,1.6922042485625453,49.071676111977986,0.0,64.76814258068927,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,12,stopped,1.6922042485625453,45.91149936957547,0.0,61.60796583828676,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,24,historical,0.1648284140401244,85.46657232122205,0.0,100.0,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,24,half,0.1648284140401244,78.84012482280679,0.0,94.53659129151806,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,24,quarter,0.1648284140401244,73.75165340232132,0.0,89.4481198710326,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
pretrained,wide_ratio,24,stopped,0.1648284140401244,68.72702355652756,0.0,84.42349002523883,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,constant,False
