filter,type,window_months,bin_width_decades,developer_control,status,n_early,n_late,common_cells,common_strata,retained_early,retained_late,coverage_early,coverage_late,full_observed_mean_change,standardized_start,standardized_end,standardized_change,scale_distribution_points,within_scale_temporal_points,composition_support_gap_points,conditional_scale_share,conditional_temporal_share,closure_error,max_abs_within_bin_logN_shift,technology_interpretation
primary,non_pretrained,3,0.25,False,conditional_standardized_decomposition,449.0,633.0,18.0,2.0,431.0,630.0,0.9599109131403119,0.995260663507109,3.272493701507937,19.23111871225318,23.45196095754419,4.22084224529101,-2.8245793338468044,7.045421579137813,-0.948348543783073,-0.6691980343491992,1.669198034349199,8.881784197001252e-16,0.09340187518974818,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,3,0.25,True,conditional_standardized_decomposition,449.0,633.0,6.0,5.0,19.0,27.0,0.042316258351893093,0.04265402843601896,3.272493701507937,16.956408105817538,22.42793492601451,5.471526820196974,0.0,5.471526820196969,-2.1990331186890373,0.0,0.999999999999999,5.329070518200751e-15,0.08777548630153142,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,3,0.5,False,conditional_standardized_decomposition,449.0,633.0,11.0,2.0,440.0,633.0,0.9799554565701559,1.0,3.272493701507937,19.100370536789747,23.41619793852397,4.3158274017342215,-2.0020503328506054,6.317877734584823,-1.0433337002262846,-0.4638856345474161,1.4638856345474152,3.552713678800501e-15,0.31946741885814833,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,3,0.5,True,conditional_standardized_decomposition,449.0,633.0,8.0,6.0,23.0,46.0,0.051224944320712694,0.07266982622432859,3.272493701507937,17.459552977577275,20.96704630524975,3.5074933276724742,0.8765700780346775,2.6309232496378034,-0.2349996261645373,0.2499135411374703,0.7500864588625316,-6.661338147750939e-15,0.311227143154564,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,3,0.75,False,conditional_standardized_decomposition,449.0,633.0,8.0,2.0,446.0,631.0,0.9933184855233853,0.9968404423380727,3.272493701507937,19.324405304661795,23.4730014494528,4.148596144791004,-3.58396120416607,7.732557348957078,-0.8761024432830666,-0.8638973472185544,1.8638973472185556,-5.329070518200751e-15,0.1615276307864896,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,3,0.75,True,conditional_standardized_decomposition,449.0,633.0,8.0,6.0,28.0,51.0,0.062360801781737196,0.08056872037914692,3.272493701507937,17.940958173815766,21.127739211643224,3.1867810378274584,-0.21243844692301947,3.3992194847504744,0.08571266368047858,-0.06666239205058352,1.0666623920505824,3.552713678800501e-15,0.15557951672350012,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,1,0.25,False,conditional_standardized_decomposition,80.0,15.0,2.0,1.0,19.0,11.0,0.2375,0.7333333333333333,2.557252584482855,6.5559082755446365,14.032732283096461,7.476824007551825,0.25296240507030454,7.223861602481522,-4.9195714230689696,0.03383286871735976,0.9661671312826405,-1.7763568394002505e-15,0.018070396560532276,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,1,0.25,True,insufficient_common_support,,,,,,,,,2.557252584482855,,,,,,,,,,,
primary,pretrained,1,0.5,False,conditional_standardized_decomposition,80.0,15.0,2.0,1.0,47.0,13.0,0.5875,0.8666666666666667,2.557252584482855,9.89901084327352,13.545015506331568,3.646004663058047,-0.5394426342720537,4.1854472973301,-1.088752078575192,-0.14795445538997254,1.1479544553899723,8.881784197001252e-16,0.15899444349073566,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,1,0.5,True,insufficient_common_support,,,,,,,,,2.557252584482855,,,,,,,,,,,
primary,pretrained,1,0.75,False,conditional_standardized_decomposition,80.0,15.0,2.0,1.0,55.0,14.0,0.6875,0.9333333333333333,2.557252584482855,9.93915600111079,14.894388608871921,4.955232607761131,-4.330750233929979,9.285982841691107,-2.3979800232782758,-0.8739751645860061,1.8739751645860057,1.7763568394002505e-15,0.07672489839176944,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,1,0.75,True,insufficient_common_support,,,,,,,,,2.557252584482855,,,,,,,,,,,
primary,pretrained,2,0.25,False,conditional_standardized_decomposition,97.0,41.0,4.0,1.0,60.0,36.0,0.6185567010309279,0.8780487804878049,-1.1916891078478926,10.007239299658726,10.221586145577309,0.21434684591858222,-4.140142367493846,4.3544892134124265,-1.4060359537664748,-19.315154136051262,20.315154136051255,1.7763568394002505e-15,0.07120140545026632,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,2,0.25,True,insufficient_common_support,,,,,,,,,-1.1916891078478926,,,,,,,,,,,
primary,pretrained,2,0.5,False,conditional_standardized_decomposition,97.0,41.0,5.0,1.0,78.0,41.0,0.8041237113402062,1.0,-1.1916891078478926,9.947481590360399,10.827347737350202,0.8798661469898033,-3.7557032529254712,4.635569399915276,-2.071555254837696,-4.268493867816687,5.268493867816689,-1.7763568394002505e-15,0.3131510983695211,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,2,0.5,True,conditional_standardized_decomposition,97.0,41.0,1.0,1.0,3.0,2.0,0.030927835051546393,0.04878048780487805,-1.1916891078478926,5.79236164380533,5.539399830163994,-0.25296181364133563,0.0,-0.25296181364133563,-0.938727294206557,-0.0,1.0,0.0,0.23776425223573228,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,2,0.75,False,conditional_standardized_decomposition,97.0,41.0,4.0,1.0,80.0,41.0,0.8247422680412371,1.0,-1.1916891078478926,9.825443746073365,10.827347737350204,1.0019039912768388,-4.116423167506875,5.118327158783712,-2.1935930991247314,-4.108600428131696,5.108600428131695,1.7763568394002505e-15,0.40569556601740586,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,2,0.75,True,conditional_standardized_decomposition,97.0,41.0,1.0,1.0,3.0,2.0,0.030927835051546393,0.04878048780487805,-1.1916891078478926,5.79236164380533,5.539399830163994,-0.25296181364133563,0.0,-0.25296181364133563,-0.938727294206557,-0.0,1.0,0.0,0.23776425223573228,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,3,0.25,False,conditional_standardized_decomposition,109.0,57.0,4.0,1.0,68.0,50.0,0.6238532110091743,0.8771929824561403,-1.7514316692906284,9.88491056427513,9.620519192870525,-0.26439137140460467,-4.425020043976582,4.160628672571978,-1.4870402978860238,16.736628054343214,-15.736628054343212,0.0,0.03221510677995254,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,3,0.25,True,insufficient_common_support,,,,,,,,,-1.7514316692906284,,,,,,,,,,,
primary,pretrained,3,0.5,False,conditional_standardized_decomposition,109.0,57.0,5.0,1.0,89.0,57.0,0.8165137614678899,1.0,-1.7514316692906284,9.973517492478697,10.149039411255316,0.17552191877661905,-3.7124067916874046,3.887928710464023,-1.9269535880672475,-21.15067347464485,22.15067347464485,4.440892098500626e-16,0.2737447522414085,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,3,0.5,True,conditional_standardized_decomposition,109.0,57.0,1.0,1.0,3.0,2.0,0.027522935779816515,0.03508771929824561,-1.7514316692906284,5.79236164380533,5.539399830163994,-0.25296181364133563,0.0,-0.25296181364133563,-1.4984698556492928,-0.0,1.0,0.0,0.23776425223573228,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,3,0.75,False,conditional_standardized_decomposition,109.0,57.0,4.0,1.0,91.0,57.0,0.8348623853211009,1.0,-1.7514316692906284,9.865659257894091,10.149039411255316,0.28338015336122524,-4.32324764804483,4.606627801406056,-2.0348118226518537,-15.256000100098673,16.256000100098678,-8.881784197001252e-16,0.38806723183947317,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,pretrained,3,0.75,True,conditional_standardized_decomposition,109.0,57.0,1.0,1.0,3.0,2.0,0.027522935779816515,0.03508771929824561,-1.7514316692906284,5.79236164380533,5.539399830163994,-0.25296181364133563,0.0,-0.25296181364133563,-1.4984698556492928,-0.0,1.0,0.0,0.23776425223573228,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,1,0.25,False,conditional_standardized_decomposition,32.0,38.0,2.0,1.0,10.0,20.0,0.3125,0.5263157894736842,0.02350610846484713,14.342970936310923,20.1573083021411,5.814337365830177,0.6674240513466083,5.14691331448357,-5.79083125736533,0.11478935764356234,0.885210642356438,-1.7763568394002505e-15,0.05431076863188666,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,1,0.25,True,insufficient_common_support,,,,,,,,,0.02350610846484713,,,,,,,,,,,
strict_yes,non_pretrained,1,0.5,False,conditional_standardized_decomposition,32.0,38.0,3.0,2.0,17.0,26.0,0.53125,0.6842105263157895,0.02350610846484713,15.397198368960174,22.988222607187645,7.591024238227471,0.10590301163980503,7.485121226587666,-7.5675181297626235,0.013951083321074172,0.9860489166789259,-8.881784197001252e-16,0.15460823185101957,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,1,0.5,True,insufficient_common_support,,,,,,,,,0.02350610846484713,,,,,,,,,,,
strict_yes,non_pretrained,1,0.75,False,conditional_standardized_decomposition,32.0,38.0,2.0,2.0,20.0,24.0,0.625,0.631578947368421,0.02350610846484713,15.865607004272594,25.030902854779036,9.165295850506443,0.0,9.16529585050644,-9.141789742041595,0.0,0.9999999999999998,1.7763568394002505e-15,0.1590432594097284,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,1,0.75,True,insufficient_common_support,,,,,,,,,0.02350610846484713,,,,,,,,,,,
strict_yes,non_pretrained,2,0.25,False,conditional_standardized_decomposition,43.0,82.0,5.0,2.0,27.0,49.0,0.627906976744186,0.5975609756097561,2.3781008473089926,16.89473171531845,25.128257314123818,8.233525598805368,0.242220271431441,7.991305327373928,-5.8554247514963755,0.029418779176029478,0.9705812208239706,-8.881784197001252e-16,0.053876158557306875,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,2,0.25,True,insufficient_common_support,,,,,,,,,2.3781008473089926,,,,,,,,,,,
strict_yes,non_pretrained,2,0.5,False,conditional_standardized_decomposition,43.0,82.0,6.0,2.0,31.0,58.0,0.7209302325581395,0.7073170731707317,2.3781008473089926,18.089730364426906,24.84820901734126,6.758478652914356,-0.36228232228974633,7.120760975204101,-4.380377805605363,-0.05360412319028704,1.0536041231902868,8.881784197001252e-16,0.18234896482086782,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,2,0.5,True,insufficient_common_support,,,,,,,,,2.3781008473089926,,,,,,,,,,,
strict_yes,non_pretrained,2,0.75,False,conditional_standardized_decomposition,43.0,82.0,4.0,2.0,31.0,55.0,0.7209302325581395,0.6707317073170732,2.3781008473089926,18.107211986758347,25.12814025264541,7.020928265887061,-0.3003750750576678,7.321303340944732,-4.642827418578069,-0.04278281499002281,1.0427828149900233,-3.552713678800501e-15,0.18234896482086782,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,2,0.75,True,insufficient_common_support,,,,,,,,,2.3781008473089926,,,,,,,,,,,
strict_yes,non_pretrained,3,0.25,False,conditional_standardized_decomposition,58.0,105.0,5.0,2.0,33.0,64.0,0.5689655172413793,0.6095238095238096,2.4642500047186573,16.91276863235409,26.92282216819975,10.01005353584566,0.3811203813244893,9.62893315452117,-7.545803531127003,0.03807376054081132,0.9619262394591885,1.7763568394002505e-15,0.059552026674507985,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,3,0.25,True,insufficient_common_support,,,,,,,,,2.4642500047186573,,,,,,,,,,,
strict_yes,non_pretrained,3,0.5,False,conditional_standardized_decomposition,58.0,105.0,6.0,2.0,40.0,73.0,0.6896551724137931,0.6952380952380952,2.4642500047186573,18.525636546631553,26.525398257813798,7.999761711182245,-0.014057118307623517,8.013818829489866,-5.535511706463588,-0.001757192128357294,1.001757192128357,3.552713678800501e-15,0.23260755104393205,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,3,0.5,True,insufficient_common_support,,,,,,,,,2.4642500047186573,,,,,,,,,,,
strict_yes,non_pretrained,3,0.75,False,conditional_standardized_decomposition,58.0,105.0,4.0,2.0,40.0,70.0,0.6896551724137931,0.6666666666666666,2.4642500047186573,18.548059824313853,26.805566320635094,8.257506496321241,0.13228704727971183,8.125219449041534,-5.793256491602584,0.016020217161033582,0.983979782838967,-5.329070518200751e-15,0.23260755104393205,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
strict_yes,non_pretrained,3,0.75,True,insufficient_common_support,,,,,,,,,2.4642500047186573,,,,,,,,,,,
permissive_label,non_pretrained,1,0.25,False,conditional_standardized_decomposition,116.0,159.0,9.0,2.0,95.0,148.0,0.8189655172413793,0.9308176100628931,8.29665011281454,16.799096772843786,27.766043827149144,10.966947054305358,0.9033132151041577,10.063633839201199,-2.670296941490818,0.08236688028411142,0.9176331197158885,1.7763568394002505e-15,0.08871456417218404,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,1,0.25,True,insufficient_common_support,,,,,,,,,8.29665011281454,,,,,,,,,,,
permissive_label,non_pretrained,1,0.5,False,conditional_standardized_decomposition,116.0,159.0,6.0,2.0,99.0,152.0,0.853448275862069,0.9559748427672956,8.29665011281454,17.228832614069866,27.562380132361838,10.333547518291972,0.9041334186927726,9.429414099599201,-2.0368974054774327,0.08749496889546568,0.9125050311045345,-1.7763568394002505e-15,0.08234400641979545,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,1,0.5,True,insufficient_common_support,,,,,,,,,8.29665011281454,,,,,,,,,,,
permissive_label,non_pretrained,1,0.75,False,conditional_standardized_decomposition,116.0,159.0,5.0,2.0,102.0,153.0,0.8793103448275862,0.9622641509433962,8.29665011281454,17.56781844867022,27.45145829604189,9.883639847371668,-1.1374679193479413,11.021107766719604,-1.5869897345571289,-0.11508593361487421,1.1150859336148737,5.329070518200751e-15,0.175956598478756,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,1,0.75,True,insufficient_common_support,,,,,,,,,8.29665011281454,,,,,,,,,,,
permissive_label,non_pretrained,2,0.25,False,conditional_standardized_decomposition,194.0,329.0,10.0,2.0,158.0,311.0,0.8144329896907216,0.9452887537993921,5.717208222138346,18.38073001587508,26.30327236644077,7.9225423505656885,0.8386462468510059,7.083896103714676,-2.205334128427342,0.1058556975452614,0.8941443024547377,6.217248937900877e-15,0.11235232124429702,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,2,0.25,True,conditional_standardized_decomposition,194.0,329.0,2.0,2.0,5.0,8.0,0.02577319587628866,0.0243161094224924,5.717208222138346,11.28973507579602,18.121626326419616,6.831891250623595,0.0,6.831891250623595,-1.1146830284852491,0.0,1.0,0.0,0.0003909042296905696,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,2,0.5,False,conditional_standardized_decomposition,194.0,329.0,8.0,2.0,184.0,317.0,0.9484536082474226,0.9635258358662614,5.717208222138346,19.1523437698852,26.388593208089162,7.236249438203963,0.3908203570776948,6.8454290811262695,-1.5190412160656166,0.05400869060902583,0.9459913093909744,-1.7763568394002505e-15,0.13594707042563528,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,2,0.5,True,conditional_standardized_decomposition,194.0,329.0,2.0,2.0,5.0,8.0,0.02577319587628866,0.0243161094224924,5.717208222138346,11.28973507579602,18.121626326419616,6.831891250623595,0.0,6.831891250623595,-1.1146830284852491,0.0,1.0,0.0,0.0003909042296905696,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,2,0.75,False,conditional_standardized_decomposition,194.0,329.0,6.0,2.0,188.0,317.0,0.9690721649484536,0.9635258358662614,5.717208222138346,19.38995219301105,26.390378375420013,7.000426182408962,-2.0305657045642382,9.030991886973203,-1.2832179602706155,-0.29006315496430063,1.2900631549643011,-1.7763568394002505e-15,0.16096806615158465,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,2,0.75,True,conditional_standardized_decomposition,194.0,329.0,3.0,3.0,8.0,11.0,0.041237113402061855,0.03343465045592705,5.717208222138346,17.03203703111556,14.823284928142103,-2.208752102973458,0.0,-2.2087521029734565,7.925960325111804,-0.0,0.9999999999999994,-1.3322676295501878e-15,0.13078263537086676,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.25,False,conditional_standardized_decomposition,280.0,458.0,18.0,2.0,270.0,455.0,0.9642857142857143,0.9934497816593887,4.818832869123497,18.875409799480632,24.83006307236855,5.954653272887917,-1.621243429879647,7.575896702767564,-1.13582040376442,-0.2722649591137938,1.2722649591137938,0.0,0.09340187518974818,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.25,True,conditional_standardized_decomposition,280.0,458.0,5.0,5.0,14.0,22.0,0.05,0.048034934497816595,4.818832869123497,16.565799778944573,23.057444727632095,6.491644948687522,0.0,6.491644948687527,-1.6728120795640251,0.0,1.0000000000000007,-4.440892098500626e-15,0.08777548630153142,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.5,False,conditional_standardized_decomposition,280.0,458.0,10.0,2.0,273.0,456.0,0.975,0.9956331877729258,4.818832869123497,18.899622566289004,24.84720117085469,5.947578604565685,-1.1782643881028094,7.12584299266849,-1.1287457354421875,-0.1981082498343628,1.198108249834362,3.552713678800501e-15,0.11176438606904027,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.5,True,conditional_standardized_decomposition,280.0,458.0,7.0,6.0,18.0,32.0,0.06428571428571428,0.06986899563318777,4.818832869123497,17.658842535964382,20.998976035236133,3.340133499271751,0.5656131019017475,2.774520397370002,1.4786993698517463,0.16933847165841368,0.8306615283415859,1.3322676295501878e-15,0.311227143154564,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.75,False,conditional_standardized_decomposition,280.0,458.0,8.0,2.0,277.0,456.0,0.9892857142857143,0.9956331877729258,4.818832869123497,19.062177252136276,24.850441991703924,5.788264739567648,-2.8972043688729734,8.68546910844062,-0.9694318704441507,-0.5005307288500731,1.5005307288500729,1.7763568394002505e-15,0.17403194358954144,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,non_pretrained,3,0.75,True,conditional_standardized_decomposition,280.0,458.0,7.0,6.0,22.0,36.0,0.07857142857142857,0.07860262008733625,4.818832869123497,18.041582624293177,20.680919036611925,2.639336412318748,-0.30211002167101536,2.941446433989763,2.179496456804749,-0.11446438591949,1.1144643859194898,8.881784197001252e-16,0.13078263537086676,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,1,0.25,False,conditional_standardized_decomposition,52.0,14.0,2.0,1.0,12.0,11.0,0.23076923076923078,0.7857142857142857,3.539872815180818,7.161627415152104,14.032732283096461,6.871104867944357,0.47174972725627295,6.399355140688085,-3.3312320527635393,0.06865704079952535,0.9313429592004748,-8.881784197001252e-16,0.014000456029292618,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,1,0.25,True,insufficient_common_support,,,,,,,,,3.539872815180818,,,,,,,,,,,
permissive_label,pretrained,1,0.5,False,conditional_standardized_decomposition,52.0,14.0,2.0,1.0,31.0,13.0,0.5961538461538461,0.9285714285714286,3.539872815180818,10.385280679668089,13.545015506331568,3.1597348266634793,-0.47959660538482574,3.639331432048307,0.3801379885173386,-0.1517838146852518,1.1517838146852524,-1.7763568394002505e-15,0.15135963121361995,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,1,0.5,True,insufficient_common_support,,,,,,,,,3.539872815180818,,,,,,,,,,,
permissive_label,pretrained,1,0.75,False,conditional_standardized_decomposition,52.0,14.0,2.0,1.0,35.0,14.0,0.6730769230769231,1.0,3.539872815180818,10.074527312102898,14.894388608871921,4.819861296769023,-4.163431097070671,8.983292393839694,-1.2799884815882052,-0.8638072427232734,1.8638072427232735,0.0,0.09892558218882125,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,1,0.75,True,insufficient_common_support,,,,,,,,,3.539872815180818,,,,,,,,,,,
permissive_label,pretrained,2,0.25,False,conditional_standardized_decomposition,66.0,34.0,4.0,1.0,42.0,30.0,0.6363636363636364,0.8823529411764706,-1.790723736614794,10.132372549305028,8.620942858792558,-1.51142969051247,-3.553149278296638,2.0417195877841663,-0.2792940461023239,2.3508531694199393,-1.3508531694199382,1.7763568394002505e-15,0.07120140545026632,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,2,0.25,True,insufficient_common_support,,,,,,,,,-1.790723736614794,,,,,,,,,,,
permissive_label,pretrained,2,0.5,False,conditional_standardized_decomposition,66.0,34.0,4.0,1.0,51.0,33.0,0.7727272727272727,0.9705882352941176,-1.790723736614794,10.324345925315626,9.771967426322497,-0.5523784989931286,-3.1823639954261607,2.6299854964330347,-1.2383452376216653,5.761201786867066,-4.761201786867071,-2.6645352591003757e-15,0.11128383953115673,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,2,0.5,True,conditional_standardized_decomposition,66.0,34.0,1.0,1.0,3.0,2.0,0.045454545454545456,0.058823529411764705,-1.790723736614794,5.79236164380533,5.539399830163994,-0.25296181364133563,0.0,-0.25296181364133563,-1.5377619229734583,-0.0,1.0,0.0,0.23776425223573228,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
permissive_label,pretrained,2,0.75,False,conditional_standardized_decomposition,66.0,34.0,3.0,1.0,51.0,33.0,0.7727272727272727,0.9705882352941176,-1.790723736614794,10.281674161720627,9.7719674263225,-0.5097067353981277,-5.362523649659461,4.852816914261332,-1.2810170012166662,10.520802016616159,-9.520802016616157,8.881784197001252e-16,0.1430242376419737,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
