_source_domain,_id,_line,case_hash,q_group,d_group,Q_z,D_conflict,n_available_signals,n_usable_edges,conflict_status,review_reason,top_edge_a,top_edge_b,top_edge_weighted_gap,source_line,content_sha256,content_chars
c4,BkiUc_g4c3aisMwilqdm,9357,00027cd13b16bf838cabb65c36666d8e3aaf7e8b67ce18f2109777dc31c97f05,low_Q,low_D,-0.005674001203746749,1.0042088659456123,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,1.0465128787787512,9357,a5be7bb798ba67e27c5a18812043343958cb6ecba24e6833b373f0e537ffd6ca,1008
commoncrawl,BkiUbjzxK1yAgWay3Wka,12842,0028774092f7d8501dde6d86dcaedb95c6db79979bf74328af05093ca1943e50,high_Q,high_D,0.16534155118328692,2.279500925304749,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,ad_en,rps_doc_unigram_entropy,1.4560456706874436,12842,c77ab522e5d45fc1d64cb90686ac9571a81f32c8a58a63f24f57f6372930df13,8493
commoncrawl,BkiUczQ4uzlhXz2JT41e,12138,00317fa9cff4b086c319e6095999eded05c3ffdb9895240b4d3fad4cbda709c6,high_Q,low_D,0.22166506541413114,1.64896565385118,22,55,RETAIN,conflict degree below frozen review threshold,ad_en,rps_doc_unigram_entropy,1.2123472655159202,12138,d218ac5d0aec3f0fac94d7ce92a64c6bc18e0caec2c1f3195874ce023888809d,2248
commoncrawl,BkiUd83xK6-gD5TleJuX,18059,00210cb6d6f606a5438ec77cf3b956eb26815c997928846178cf8b99744c49e7,low_Q,high_D,-0.6515944214783356,2.196729008979975,22,55,LOW_PRIORITY_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,1.859451214476347,18059,769c3965201d7bd0d7e4f31a5f11d48e79fd7b247e9666c2ba0cf64783cbffbf,858
commoncrawl,BkiUfeA5qhLBmcl5qFzi,15272,002052440293e0439554295a22d9b3a787e2e3eeb4e83a46c4b6baa0242e23ec,low_Q,low_D,-0.11693291273065996,1.542308896610236,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,ad_en,rps_doc_unigram_entropy,1.2929169463708192,15272,d410bbea06d5893dfcec3827c2d6f83b386172b13cf01ad8b2c8f3d1a4c5366d,2054
github,BkiUbK44eIXgu2VZm247,30969,00183544a889af33db31091b3f8e696e042837e7388fdafb064717acaef97bdb,high_Q,high_D,0.07591102274654637,2.4109074716339003,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_doc_mean_word_length,1.480915452865812,30969,924c1624f8cb17e07e9c2057987844bfe8d6edeb6e3184431fb30fe6dcd3de74,3676
github,BkiUan_xK7Tt6CA5EnLi,28157,0035f6a4c415638b70397944e7d46a99f4b06d7b57901d87b960e730d1aa75d7,high_Q,low_D,1.073715634522055,1.063383604053684,22,55,RETAIN,conflict degree below frozen review threshold,modernbert_professionalism,rps_doc_frac_no_alph_words,1.1516692829401298,28157,f745f1952f320899660f20586e52d15cbf44da3211ef8dcd489ef3500e27bbf7,4966
github,BkiUdp05qYVBZEfUirf7,25408,00048b6fc493dba46c2d484cbd26a68619b440ed59314951565fa8eefe5b6921,low_Q,high_D,-0.01679868074416292,2.0709542419374505,22,55,LOW_PRIORITY_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_doc_mean_word_length,3.025991995070308,25408,49fbe08cf075931b528d052558a963b4800753f732e522e34046ed518e1d462a,2007
github,BkiUcRXxK1fBGwCLLv6s,23598,000abd43284e4ac12d1c5886a7b845b6c2b8cab279938261095472e206df386e,low_Q,low_D,-0.4185633578733485,1.4775413281197811,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,modernbert_professionalism,rps_doc_frac_no_alph_words,1.6578897399067676,23598,7ed12257c8dcce612f329bf4c702d238d79f39a47457d950002f921ca4ee3cf0,1159
stackexchange,BkiUdq84dbghZEB7VDHx,33109,000e98db88e185face2b42f6dfbdd2e9b8e7908f80fdc52310189e3009fde464,high_Q,high_D,1.1873362719401617,2.06143732629841,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_doc_frac_no_alph_words,2.0154298690080634,33109,dd7669b9c92701ec43f0ccc0ccc8b9be8e97ec7fb4a90ea8d58c0a2acb590446,4867
stackexchange,BkiUd-DxK6nrxjHzCPrk,36719,0010e4b733fac5f72594961ea4cfe5ec6aa66f31704f7621e1b28773b5ae7871,high_Q,low_D,0.5461274987847555,1.148428361319317,22,55,RETAIN,conflict degree below frozen review threshold,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,1.3774170859288286,36719,bcc91001e5e511b3e94b0590ad3736bafb314479350fa019b84d712f05338311,1458
stackexchange,BkiUd0E4dbghU_Qx7b5V,32968,00288d6024db73a75197a033f9ed6b680912531573336b6513a4d9521b762fa9,low_Q,high_D,-1.155275582389203,1.9986927923449154,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,1.3381358346916314,32968,a078fa9519b5182f7ce55de11bec0c94df0ec3f6a15a23356e7afc33124a5475,280
stackexchange,BkiUfALxaKgQUeUjbQEZ,34487,00001fa57deeb6de2f42575edf5dcc442b9d5068e468c9b079545d28cc0d2b99,low_Q,low_D,-0.6132079545736111,1.4836496224716527,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,0.9145428996321524,34487,48bd8c829474b3620e9b347d9e35c2a88496bb365aa7218c9216f9c3b878768a,576
wikipedia,BkiUdgI5qYVBNjBBcVFB,42608,00d004addddac6501957581a6c6b2532b412d1c9cd459ddd17cff01712d3fddc,high_Q,high_D,0.5675234012828428,1.8754481414390105,22,55,RETAIN,conflict degree below frozen review threshold,ad_en,rps_doc_unigram_entropy,1.3834805194718034,42608,5b0d6527585c77f01f052357212215a5aa92a5c1bd979d2e052e36d7cde848e0,4958
wikipedia,BkiUdxU4uzlgqBZvCo7J,46373,00014373f5a42ed512efe26fb20415ff1d6362af66a790245890b274884b1ef2,high_Q,low_D,0.5931760869366662,0.996574680276801,22,55,RETAIN,conflict degree below frozen review threshold,fluency_en,rps_lines_uppercase_letter_fraction,1.6825159845455768,46373,dbef18f605cc0848d2ad91de9ed74dd3c4c26d4b662e09b196e48369f17a7153,6241
wikipedia,BkiUbC04ubnjoscfM3ej,49184,000e30be802675e61eadb81c8a38d60f38832eec3241e18a736bd4ae39995d51,low_Q,high_D,-0.5755465518461409,1.7851595129149398,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,4.844006926694142,49184,59f4a3a2062c316a8d48a417177f5d67a26b4d87442920bd3dda96e421f4e7b9,963
wikipedia,BkiUe_s25V5jQSoCcpV8,41247,000f5fa08c211bbb73282f16acc4c03ec64891402469358a50aee19e22be32e8,low_Q,low_D,-0.7554928637643842,1.344277785971786,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,1.8385073583954288,41247,fc01ff7880c2bda2c02a69633900468d7ecbbe97196998d54fbdc3a5adfb4654,553
