modelDirectory,sourceFile,bbhTaskCount,bbhMacroMean,bbhTaskSd,bbhTaskMin,bbhTaskMax
allknowingroger_Llama3.1-60B,results_2024-10-11T14-34-09.525837.json,24,32.417552719382066,18.25716729340129,0.4,74.8
allknowingroger_Mistralmash2-7B-s,results_2024-09-03T06-57-24.156090.json,24,53.04858141026011,17.01978412862893,14.799999999999999,84.39999999999999
allknowingroger_MistralPhi3-11B,results_2024-09-03T06-29-04.715113.json,24,62.34314600705604,19.403865521933024,24,87.6
allknowingroger_Phi3mash1-17B-pass,results_2024-09-03T06-44-10.031807.json,24,61.2887879556093,20.305617707951562,19.2,90.8
allknowingroger_Qwen2.5-42B-AGI,results_2024-10-22T00-42-05.989075.json,24,29.42104150907988,15.365115254881239,5.2,51.87165775401069
allknowingroger_Qwen2.5-7B-task3,results_2024-11-06T18-32-30.118491.json,24,53.97623813486385,15.851161187080802,18.8,77.60000000000001
allknowingroger_Qwen2.5-7B-task4,results_2024-11-06T18-31-18.397337.json,24,55.834460385802636,16.203999359546906,18.4,84.39999999999999
allknowingroger_QwenSlerp12-7B,results_2024-11-22T20-03-47.750767.json,24,55.56448443090557,15.848179296254733,17.599999999999998,84
allknowingroger_Qwenslerp3-14B,results_2024-10-21T20-32-17.784584.json,24,65.20835120117142,17.8265324743607,24,92.4
allknowingroger_Qwenslerp3-7B,results_2024-11-06T18-37-23.836740.json,24,55.80160200086863,16.616810572907678,16.400000000000002,85.2
allknowingroger_QwenSlerp4-14B,results_2024-12-06T19-49-12.629259.json,24,64.83250205703057,18.16309092783676,25.2,92.80000000000001
allknowingroger_QwenSlerp6-14B,results_2024-12-06T19-39-20.271977.json,24,63.844543580651646,18.092981475481285,23.599999999999998,91.2
allknowingroger_QwenStock1-14B,results_2024-12-06T20-08-10.157704.json,24,65.28491305599157,18.176879575799244,24,92.4
allknowingroger_QwenStock2-14B,results_2024-12-06T20-07-24.006733.json,24,65.68850101390551,18.164278463345617,24,92.4
allknowingroger_ROGERphi-7B-slerp,results_2024-08-13T08-08-29.741245.json,24,51.955834284684244,19.23372317583649,14.799999999999999,82.8
allknowingroger_Rombos-LLM-V2.5-Qwen-42b,results_2024-10-29T06-38-37.491206.json,24,29.69164076001621,15.506677777122825,5.2,56.17977528089888
allknowingroger_Yi-1.5-34B,results_2024-10-29T01-57-59.713822.json,24,28.272506287695652,15.434293096157788,4.3999999999999995,51.87165775401069
allknowingroger_Yislerp-34B,results_2024-09-21T13-56-11.768462.json,24,61.58722731484187,18.879118365286057,24.4,93.2
allknowingroger_Yislerp2-34B,results_2024-09-27T23-49-27.470228.json,24,62.45771970170242,18.33339254381054,24.8,92.80000000000001
allura-org_Mistral-Small-24b-Sertraline-0304,results_2025-03-05T17-04-59.040521.json,24,65.24908933699551,18.864460578895628,24,91.60000000000001
Alsebay_Qwen2.5-7B-test-novelist,results_2024-12-18T02-28-41.543232.json,24,51.5121518446605,14.533140110605482,20,77.60000000000001
Amaorynho_BBAI2006,results_2025-02-27T22-01-12.890348.json,24,27.043669901671336,17.80946549591281,0,53.93258426966292
Amaorynho_BBAI270V4,results_2025-02-27T08-30-09.873664.json,24,30.712046736502817,16.4966040247356,3.2,58.8
Amaorynho_BBAIIFEV1,results_2025-03-01T19-40-25.427409.json,24,52.924620385605095,15.336009368369542,25.2,84.39999999999999
Amaorynho_BBAI_375,results_2025-02-27T12-12-55.675096.json,24,27.043669901671336,17.80946549591281,0,53.93258426966292
amazon_MegaBeam-Mistral-7B-300k,results_2024-10-07T13-52-28.283899.json,24,42.27731731112976,16.9946700019387,15.2,79.60000000000001
Amu_t1-1.5B,results_2025-03-08T04-40-03.345654.json,24,40.076069841092156,15.978481256714774,10.4,80
Amu_t1-3B,results_2025-03-13T16-46-20.235537.json,24,39.98975014383438,15.80290145022857,6.800000000000001,71.6
anakin87_gemma-2b-orpo,results_2024-07-29T09-00-07.856925.json,24,34.26170943561775,14.656353201052609,13.600000000000001,70.8
arcee-ai_Llama-3.1-SuperNova-Lite,results_2024-09-18T15-23-41.201451.json,24,51.51992115104819,16.82739010702768,21.2,84.39999999999999
ArliAI_ArliAI-RPMax-12B-v1.1,results_2024-09-14T01-35-22.892458.json,24,47.51817608401189,14.782792164332848,12.4,82
ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1,results_2024-09-19T08-16-03.312956.json,24,50.156134560390825,15.873886443059577,19.2,83.6
Arthur-LAGACHERIE_Precis-1B-Instruct,results_2025-01-20T02-26-42.196441.json,24,32.236145106873686,15.816553685352796,10.8,74.8
Artples_L-MChat-7b,results_2024-08-21T15-54-00.632996.json,24,46.00330167467942,17.077344672190357,14.000000000000002,83.2
Artples_L-MChat-Small,results_2024-08-12T20-08-53.082655.json,24,48.225627665257264,17.256924677264273,13.600000000000001,82.8
Aryanne_QwentileSwap,results_2025-03-14T11-42-48.673718.json,24,70.08370136278447,19.792457087077146,24,96
Aryanne_SHBA,results_2025-01-14T02-47-19.535563.json,24,52.33174837035714,16.11915456056554,21.2,82.8
Aryanne_SuperHeart,results_2024-09-23T11-59-42.090754.json,24,52.153750462643245,15.72078195523384,19.6,82.39999999999999
asharsha30_LLAMA_Harsha_8_B_ORDP_10k,results_2024-12-02T04-58-31.780769.json,24,46.687076909485434,18.41082095371501,7.6,79.60000000000001
AtAndDev_Qwen2.5-1.5B-continuous-learnt,results_2024-10-15T04-55-44.027283.json,24,42.57747085793333,17.83390822087826,12.4,82.8
Ateron_Glowing-Forest-12B,results_2025-03-06T15-03-45.762050.json,24,54.9176294722067,17.745299613135415,15.2,87.6
Ateron_Lotus-Magpic,results_2025-03-05T13-12-09.385184.json,24,52.535149501332995,17.140907988097563,14.399999999999999,83.6
Ateron_Way_of_MagPicaro,results_2025-03-05T15-31-39.956586.json,24,54.27386861946704,17.023856098315377,12.4,84.8
AuraIndustries_Aura-4B,results_2024-12-18T03-06-02.963485.json,24,44.904094650019466,17.40449167187384,6,69.6
AuraIndustries_Aura-8B,results_2024-12-11T04-50-16.483325.json,24,51.31231419849062,16.346866192451444,17.2,82.8
AuraIndustries_Aura-MoE-2x4B,results_2024-12-18T04-41-59.014444.json,24,43.38506704177467,17.61088515584543,8.4,74.4
AuraIndustries_Aura-MoE-2x4B-v2,results_2024-12-18T04-58-06.054592.json,24,43.15244429281359,17.39436440093621,6.800000000000001,74.8
Aurel9_testmerge-7b,results_2024-11-20T00-59-08.345134.json,24,51.89590919105129,19.154023199596274,15.6,82.8
awnr_Mistral-7B-v0.1-signtensors-1-over-4,results_2024-07-22T12-11-38.418833.json,24,29.117781029884352,15.467206129917319,0,53.2
axolotl-ai-co_romulus-mistral-nemo-12b-simpo,results_2024-07-26T17-54-00.090079.json,24,53.95057669562011,17.9717211636844,12.8,85.2
Ayush-Singh_Llama1B-sft-2,results_2025-02-05T09-53-28.796940.json,24,28.3428204214368,16.732816511060385,0,54
Azure99_blossom-v5-32b,results_2024-09-27T16-03-40.225448.json,24,59.54545257004671,19.593365786369755,14.799999999999999,83.6
Azure99_blossom-v5-llama3-8b,results_2024-09-21T11-45-04.971156.json,24,41.849091970872614,15.927534279157971,11.600000000000001,74
Azure99_blossom-v5.1-34b,results_2024-07-17T02-52-19.756120.json,24,61.074434299444924,18.438414279803407,22.400000000000002,92.4
Azure99_blossom-v5.1-9b,results_2024-07-17T00-49-16.822666.json,24,53.432923779163666,17.798401212904835,12,84
Azure99_Blossom-V6-14B,results_2025-02-01T09-24-58.712862.json,24,50.68726694646122,18.123038341394814,12.8,82.39999999999999
Azure99_Blossom-V6-7B,results_2025-02-01T08-37-59.351105.json,24,49.73668324088698,17.24675021134675,13.600000000000001,82.8
Ba2han_Llama-Phi-3_DoRA,results_2024-07-29T08-29-23.036311.json,24,55.145582590291895,18.51444831361443,18,87.6
BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,results_2024-09-03T10-12-22.221077.json,24,59.794596642300554,15.924665493675409,28.799999999999997,84.8
BAAI_Infinity-Instruct-3M-0613-Llama3-70B,results_2024-07-25T07-35-25.760033.json,24,66.41614484348597,17.89002794466927,26,95.6
BAAI_Infinity-Instruct-3M-0613-Mistral-7B,results_2024-07-22T10-30-55.104090.json,24,49.5823337632589,17.404210322201074,13.200000000000001,84.39999999999999
BAAI_Infinity-Instruct-3M-0625-Llama3-70B,results_2024-09-03T00-17-17.935598.json,24,66.70337872930246,18.478328489114606,25.6,89.2
BAAI_Infinity-Instruct-3M-0625-Llama3-8B,results_2024-07-25T14-21-16.697446.json,24,49.54985723563076,17.71863911711573,15.2,80.80000000000001
BAAI_Infinity-Instruct-3M-0625-Mistral-7B,results_2024-08-12T18-08-03.104883.json,24,49.39670574681802,17.48975981627757,14.399999999999999,84.8
BAAI_Infinity-Instruct-3M-0625-Qwen2-7B,results_2024-08-12T18-24-56.268433.json,24,53.45911997776568,17.0279372147485,12,80.80000000000001
BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B,results_2024-08-21T05-35-19.299638.json,24,55.09115146247397,16.885170173269767,17.599999999999998,84.39999999999999
BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B,results_2024-08-12T13-18-16.514134.json,24,50.773354313810536,18.558301026793142,15.2,83.2
BAAI_Infinity-Instruct-7M-0729-mistral-7B,results_2024-08-12T13-10-51.363675.json,24,49.63813586525743,17.289835748907123,14.000000000000002,84
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B,results_2024-09-29T01-05-56.315539.json,24,66.95200461367472,19.26928273606206,26.400000000000002,96.39999999999999
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B,results_2024-09-02T15-50-11.409871.json,24,50.773354313810536,18.558301026793142,15.2,83.2
BAAI_Infinity-Instruct-7M-Gen-mistral-7B,results_2024-09-02T15-46-52.517392.json,24,49.63813586525743,17.289835748907123,14.000000000000002,84
BAAI_OPI-Llama-3.1-8B-Instruct,results_2024-09-23T11-57-00.029469.json,24,35.51224419497604,14.714462517971771,13.200000000000001,58.8
Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB,results_2025-03-01T08-30-05.978173.json,24,72.56319952414621,18.575896774107772,32,98
bedio_DistMerge_Llama-3.1-8B-Instruct,results_2024-09-12T00-20-16.819235.json,24,51.44961859539176,15.869005126822096,20,84.39999999999999
BEE-spoke-data_Meta-Llama-3-8Bee,results_2024-07-25T12-24-55.860310.json,24,46.26364190575274,18.186178857711074,8,82.8
BEE-spoke-data_smol_llama-101M-GQA,results_2024-08-13T08-16-04.970628.json,24,30.175607719125537,14.97368180105699,0,52.800000000000004
BEE-spoke-data_smol_llama-220M-GQA,results_2024-06-26T23-24-10.372392.json,24,30.316731388708956,15.642994604877103,0,53.6
BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,results_2024-07-18T11-09-45.118921.json,24,29.290517164510593,14.68796587670532,0,51.87165775401069
BEE-spoke-data_smol_llama-220M-openhermes,results_2024-09-21T20-51-56.948604.json,24,30.275191401927717,15.870802724670552,3.2,57.99999999999999
BEE-spoke-data_tFINE-900m-e16-d32-flan,results_2024-09-14T06-01-16.457735.json,24,30.280434847620608,16.615610723679243,0,57.99999999999999
BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,results_2024-09-14T09-26-54.566432.json,24,31.377863044975925,17.33424462606096,1.2,57.99999999999999
BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e,results_2024-09-23T16-45-27.487413.json,24,31.345674638809026,17.95685030002386,1.2,57.99999999999999
BEE-spoke-data_tFINE-900m-instruct-orpo,results_2024-09-23T17-46-03.770289.json,24,30.220933767045093,14.455461174219442,5.6000000000000005,52.24719101123596
BenevolenceMessiah_Qwen2.5-72B-2x-Instruct-TIES-v1.0,results_2024-11-25T10-42-51.480482.json,24,72.73114113822449,18.593141280412347,32.800000000000004,99.6
BenevolenceMessiah_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,results_2024-09-28T01-29-46.479228.json,24,49.08666248538679,16.009700017932136,13.200000000000001,88.8
bigscience_bloom-1b1,results_2024-06-16T21-45-03.222205.json,24,31.072762377370392,16.595894699250156,1.2,55.60000000000001
BlackBeenie_Bloslain-8B-v0.2,results_2024-11-20T00-14-46.384603.json,24,51.10879462535431,16.955860667130143,19.2,83.2
BlackBeenie_llama-3-luminous-merged,results_2024-10-11T13-21-44.421484.json,24,51.53924501559339,14.624385838286269,17.599999999999998,78.4
BlackBeenie_llama-3.1-8B-Galore-openassistant-guanaco,results_2024-10-19T11-26-56.879492.json,24,52.13365363748028,17.13179249644954,15.6,83.2
BlackBeenie_Llama-3.1-8B-OpenO1-SFT-v0.1,results_2024-12-29T05-50-35.952715.json,24,47.874483616049865,17.08828321974324,14.399999999999999,79.60000000000001
BlackBeenie_Llama-3.1-8B-pythonic-passthrough-merge,results_2024-11-06T21-15-20.894828.json,24,34.53848032699583,15.809898106827502,9.6,76
BlackBeenie_Neos-Gemma-2-9b,results_2024-11-11T12-49-01.846333.json,24,55.02975126048853,15.73559066067246,25.2,82.8
BlackBeenie_Neos-Llama-3.1-8B,results_2024-11-12T13-25-16.816634.json,24,44.2499841144288,15.864924227939408,14.000000000000002,78
BlackBeenie_Neos-Llama-3.1-base,results_2024-11-11T14-31-42.592878.json,24,29.30339746824052,14.768234159173073,3.2,51.87165775401069
BlackBeenie_Neos-Phi-3-14B-v0.1,results_2024-11-27T15-11-29.345795.json,24,62.11931530444463,19.978720744254762,18.8,87.2
Bllossom_llama-3.2-Korean-Bllossom-AICA-5B,results_2024-12-18T04-48-36.945827.json,24,42.9307450415206,14.347203023991604,15.2,68.4
BoltMonkey_DreadMix,results_2024-10-15T10-14-27.298886.json,24,54.35097438362475,15.382149329377826,23.200000000000003,85.6
BoltMonkey_NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,results_2024-10-02T01-12-39.953335.json,24,51.616775670767574,15.064664045632968,16.400000000000002,82.39999999999999
BoltMonkey_SuperNeuralDreadDevil-8b,results_2024-10-15T04-58-27.394066.json,24,52.8619601203572,15.255261749082335,20.8,82
bosonai_Higgs-Llama-3-70B,results_2024-10-06T02-29-41.562725.json,24,62.5765879603832,20.04636537825985,22.400000000000002,94.8
braindao_DeepSeek-R1-Distill-Qwen-1.5B-Blunt,results_2025-02-23T21-30-24.799148.json,24,27.743669901671336,17.200365986060756,0,53.93258426966292
braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt,results_2025-03-03T22-24-01.916394.json,24,32.828968244496224,13.141098496200653,8,51.87165775401069
braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored,results_2025-03-06T14-15-38.238783.json,24,31.70339746824052,13.656906640937343,7.199999999999999,51.87165775401069
braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Blunt,results_2025-03-03T22-23-13.808613.json,24,31.98581755956472,13.744232518696792,5.6000000000000005,51.87165775401069
braindao_DeepSeek-R1-Distill-Qwen-7B-Reflective,results_2025-03-03T20-24-38.352295.json,24,29.067781029884358,14.627499566513078,0,51.87165775401069
braindao_Qwen2.5-14B,results_2025-03-06T09-37-30.014109.json,24,58.526604092880376,18.540682258987637,13.600000000000001,87.6
BrainWave-ML_llama3.2-3B-maths-orpo,results_2024-10-25T15-23-53.121910.json,24,29.117781029884352,15.467206129917319,0,53.2
BramVanroy_fietje-2,results_2024-10-28T15-01-12.007604.json,24,40.35669517838618,16.188790778985876,12.8,77.2
BramVanroy_fietje-2-chat,results_2024-10-28T15-30-42.669861.json,24,41.49753717401999,16.200100638761405,11.600000000000001,82.39999999999999
BramVanroy_fietje-2-instruct,results_2024-10-29T06-19-03.359209.json,24,41.360714173029805,16.345330033361076,10.8,82.39999999999999
BramVanroy_GEITje-7B-ultra,results_2024-10-28T15-46-03.761866.json,24,37.76161299730549,16.44791677605748,10.4,67.60000000000001
BSC-LT_salamandra-7b,results_2024-11-22T08-16-09.604171.json,24,35.16612209885983,17.644226595883993,9.2,74
BSC-LT_salamandra-7b-instruct,results_2024-11-22T08-58-14.996318.json,24,38.513242900809566,17.216288742647762,9.6,68.4
bunnycore_FuseCyberMix-Qwen-2.5-7B-Instruct,results_2024-12-20T09-17-49.550984.json,24,55.17973725429835,16.557406487813015,16,84
bunnycore_Gemma2-9B-TitanFusion,results_2025-02-19T15-04-16.854720.json,24,57.12026020785131,16.286255370091403,24,80.80000000000001
