sample_id,source_csv_line,source_run_id,group_id,group_index,trajectory_rank,N_params_B,D_tokens_B,val_loss,C_FLOPs_1e21,steps,compute_ratio_C_over_6ND,compute_identity_outlier,token_tail_split
B1:0.070542:15000,20,26,N=0.070542B,1,19,0.070542,31.457,3.0342,0.0133,15000,0.9989306061807953,0,train
B1:0.070542:16000,21,27,N=0.070542B,1,20,0.070542,33.554,3.0254,0.0142,16000,0.9998734239108584,0,train
B1:0.070542:17000,22,28,N=0.070542B,1,21,0.070542,35.652,3.018,0.0151,17000,1.0006772594295021,0,train
B1:0.070542:18000,23,29,N=0.070542B,1,22,0.070542,37.749,3.0105,0.016,18000,1.0014182744034617,0,train
B1:0.070542:19000,24,30,N=0.070542B,1,23,0.070542,39.846,3.0039,0.0169,19000,1.0020812936739432,0,train
B1:0.070542:20000,25,31,N=0.070542B,1,24,0.070542,41.943,2.9975,0.0178,20000,1.0026780157596646,0,train
B1:0.070542:21000,26,32,N=0.070542B,1,25,0.070542,44.04,2.9921,0.0186,21000,0.997853109378529,0,train
B1:0.070542:22000,27,33,N=0.070542B,1,26,0.070542,46.137,2.9861,0.0195,22000,0.9985877652276066,0,train
B1:0.070542:23000,28,34,N=0.070542B,1,27,0.070542,48.234,2.9807,0.0204,23000,0.999258541932698,0,train
B1:0.070542:24000,29,35,N=0.070542B,1,28,0.070542,50.332,2.9761,0.0213,24000,0.9998535583497064,0,train
B1:0.070542:25000,30,36,N=0.070542B,1,29,0.070542,52.429,2.971,0.0222,25000,1.0004200363564648,0,train
B1:0.070542:26000,31,37,N=0.070542B,1,30,0.070542,54.526,2.9668,0.0231,26000,1.0009429423285907,0,train
B1:0.070542:27000,32,38,N=0.070542B,1,31,0.070542,56.623,2.9621,0.024,27000,1.0014271172612617,0,train
B1:0.070542:28000,33,39,N=0.070542B,1,32,0.070542,58.72,2.9582,0.0249,28000,1.0018767106260231,0,train
B1:0.070542:29000,34,40,N=0.070542B,1,33,0.070542,60.817,2.9546,0.0257,29000,0.9984104340888714,0,train
B1:0.070542:30000,35,41,N=0.070542B,1,34,0.070542,62.915,2.951,0.0266,30000,0.998914728717453,0,train
B1:0.070542:31000,36,42,N=0.070542B,1,35,0.070542,65.012,2.9473,0.0275,31000,0.9994018480362737,0,train
B1:0.070542:32000,37,43,N=0.070542B,1,36,0.070542,67.109,2.9439,0.0284,32000,0.9998585246659897,0,train
B1:0.070542:33000,38,44,N=0.070542B,1,37,0.070542,69.206,2.9406,0.0293,33000,1.000287525923844,0,train
B1:0.070542:34000,39,45,N=0.070542B,1,38,0.070542,71.303,2.9372,0.0302,34000,1.0006912935831764,0,train
B1:0.070542:35000,40,46,N=0.070542B,1,39,0.070542,73.4,2.9343,0.0311,35000,1.0010719903765244,0,train
B1:0.070542:36000,41,47,N=0.070542B,1,40,0.070542,75.497,2.9314,0.032,36000,1.0014315387487258,0,train
B1:0.070542:37000,42,48,N=0.070542B,1,41,0.070542,77.595,2.9289,0.0328,37000,0.9987138836643519,0,train
B1:0.070542:38000,43,49,N=0.070542B,1,42,0.070542,79.692,2.926,0.0337,38000,0.999116556118695,0,train
B1:0.070542:39000,44,50,N=0.070542B,1,43,0.070542,81.789,2.923,0.0346,39000,0.9994985802184485,0,train
B1:0.070542:40000,45,51,N=0.070542B,1,44,0.070542,83.886,2.9208,0.0355,40000,0.9998615044794408,0,train
B1:0.070542:41000,46,52,N=0.070542B,1,45,0.070542,85.983,2.9182,0.0364,41000,1.000206726353326,0,train
B1:0.070542:42000,47,53,N=0.070542B,1,46,0.070542,88.08,2.9158,0.0373,42000,1.0005355102101918,0,train
B1:0.070542:43000,48,54,N=0.070542B,1,47,0.070542,90.178,2.9137,0.0382,43000,1.0008379042182058,0,train
B1:0.070542:44000,49,55,N=0.070542B,1,48,0.070542,92.275,2.9115,0.0391,44000,1.0011373970616637,0,train
B1:0.070542:45000,50,56,N=0.070542B,1,49,0.070542,94.372,2.9093,0.0399,45000,0.9989200211491527,0,train
B1:0.070542:46000,51,57,N=0.070542B,1,50,0.070542,96.469,2.9068,0.0408,46000,0.9992481835943517,0,train
B1:0.070542:47000,52,58,N=0.070542B,1,51,0.070542,98.566,2.9049,0.0417,47000,0.9995623826719068,0,train
B1:0.070542:48000,53,59,N=0.070542B,1,52,0.070542,100.663,2.903,0.0426,48000,0.9998634910316089,0,train
B1:0.070542:49000,54,60,N=0.070542B,1,53,0.070542,102.76,2.9011,0.0435,49000,1.0001523100913827,0,train
B1:0.070542:50000,55,61,N=0.070542B,1,54,0.070542,104.858,2.8989,0.0444,50000,1.0004200363564648,0,train
B1:0.070542:51000,56,62,N=0.070542B,1,55,0.070542,106.955,2.8971,0.0453,51000,1.0006866154882132,0,train
B1:0.070542:52000,57,63,N=0.070542B,1,56,0.070542,109.052,2.8951,0.0462,52000,1.0009429423285907,0,train
B1:0.070542:53000,58,64,N=0.070542B,1,57,0.070542,111.149,2.8933,0.047,53000,0.999063929219699,0,train
B1:0.070542:54000,59,65,N=0.070542B,1,58,0.070542,113.246,2.892,0.0479,54000,0.9993408107669673,0,train
B1:0.070542:55000,60,66,N=0.070542B,1,59,0.070542,115.343,2.8904,0.0488,55000,0.9996076245926641,0,train
B1:0.070542:56000,61,67,N=0.070542B,1,60,0.070542,117.441,2.8885,0.0497,56000,0.9998563962386843,0,train
B1:0.070542:57000,62,68,N=0.070542B,1,61,0.070542,119.538,2.8871,0.0506,57000,1.0001048019704444,0,train
B1:0.070542:58000,63,69,N=0.070542B,1,62,0.070542,121.635,2.8854,0.0515,58000,1.0003446426211093,0,train
B1:0.070542:59000,64,70,N=0.070542B,1,63,0.070542,123.732,2.8836,0.0524,59000,1.0005763536715993,0,train
B1:0.070542:60000,65,71,N=0.070542B,1,64,0.070542,125.829,2.8823,0.0533,60000,1.0008003415728486,0,train
B1:0.070542:61000,66,72,N=0.070542B,1,65,0.070542,127.926,2.8811,0.0541,61000,0.9991700913167988,0,train
B1:0.070542:62000,67,73,N=0.070542B,1,66,0.070542,130.023,2.8793,0.055,62000,0.999409534382905,0,train
B1:0.070542:63000,68,74,N=0.070542B,1,67,0.070542,132.121,2.8782,0.0559,63000,0.999633810494502,0,train
B1:0.070542:64000,69,75,N=0.070542B,1,68,0.070542,134.218,2.876,0.0568,64000,0.9998585246659897,0,train
B1:0.070542:65000,70,76,N=0.070542B,1,69,0.070542,136.315,2.8753,0.0577,65000,1.0000763250625055,0,train
B1:0.070542:66000,71,77,N=0.070542B,1,70,0.070542,138.412,2.8738,0.0586,66000,1.000287525923844,0,train
B1:0.070542:67000,72,78,N=0.070542B,1,71,0.070542,140.509,2.8724,0.0595,67000,1.0004924227305496,0,train
B1:0.070542:68000,73,79,N=0.070542B,1,72,0.070542,142.606,2.8712,0.0604,68000,1.0006912935831764,0,train
B1:0.070542:69000,74,80,N=0.070542B,1,73,0.070542,144.703,2.8696,0.0612,69000,0.9992516363499392,0,train
B1:0.070542:70000,75,81,N=0.070542B,1,74,0.070542,146.801,2.8687,0.0621,70000,0.9994557415959083,0,train
B1:0.070542:71000,76,82,N=0.070542B,1,75,0.070542,148.898,2.8676,0.063,71000,0.9996608088039907,0,train
B1:0.070542:72000,77,83,N=0.070542B,1,76,0.070542,150.995,2.8666,0.0639,72000,0.999860180115714,0,train
B1:0.070542:73000,78,84,N=0.070542B,1,77,0.070542,153.092,2.865,0.0648,73000,1.0000540895921923,0,train
B1:0.070542:74000,79,85,N=0.070542B,1,78,0.070542,155.189,2.8638,0.0657,74000,1.0002427586434837,0,train
B1:0.070542:75000,80,86,N=0.070542B,1,79,0.070542,157.286,2.8628,0.0666,75000,1.0004263968719356,0,train
B1:0.070542:76000,81,87,N=0.070542B,1,80,0.070542,159.384,2.8619,0.0675,76000,1.0005989248963192,0,train
B1:0.070542:77000,82,88,N=0.070542B,1,81,0.070542,161.481,2.8607,0.0683,77000,0.9993100486601999,0,train
B1:0.070542:78000,83,89,N=0.070542B,1,82,0.070542,163.578,2.8595,0.0692,78000,0.9994985802184485,0,train
B1:0.070542:79000,84,90,N=0.070542B,1,83,0.070542,165.675,2.8586,0.0701,79000,0.999682339171565,0,train
B1:0.070542:80000,85,91,N=0.070542B,1,84,0.070542,167.772,2.8575,0.071,80000,0.9998615044794408,0,train
B1:0.070542:81000,86,92,N=0.070542B,1,85,0.070542,169.869,2.8566,0.0719,81000,1.0000362462650654,0,train
B1:0.070542:82000,87,93,N=0.070542B,1,86,0.070542,171.966,2.8553,0.0728,82000,1.000206726353326,0,train
B1:0.070542:83000,88,94,N=0.070542B,1,87,0.070542,174.064,2.8544,0.0737,83000,1.0003673516140714,0,train
B1:0.070542:84000,89,95,N=0.070542B,1,88,0.070542,176.161,2.8534,0.0746,84000,1.0005298305449413,0,train
B1:0.070542:85000,90,96,N=0.070542B,1,89,0.070542,178.258,2.8522,0.0754,85000,0.9993630715067496,0,train
B1:0.070542:86000,91,97,N=0.070542B,1,90,0.070542,180.355,2.8516,0.0763,86000,0.9995334489641313,0,train
B1:0.070542:87000,92,98,N=0.070542B,1,91,0.070542,182.452,2.8506,0.0772,87000,0.9996999099774273,0,train
B1:0.070542:88000,93,99,N=0.070542B,1,92,0.070542,184.549,2.8497,0.0781,88000,0.9998625880523719,0,train
B1:0.070542:89000,94,100,N=0.070542B,1,93,0.070542,186.647,2.8487,0.079,89000,1.0000162528717467,0,train
B1:0.070542:90000,95,101,N=0.070542B,1,94,0.070542,188.744,2.8476,0.0799,90000,1.000171800624277,0,train
B1:0.070542:91000,96,102,N=0.070542B,1,95,0.070542,190.841,2.8469,0.0808,91000,1.0003239299956728,0,train
B1:0.070542:92000,97,103,N=0.070542B,1,96,0.070542,192.938,2.8461,0.0817,92000,1.0004727524467958,0,train
B1:0.070542:93000,98,104,N=0.070542B,1,97,0.070542,195.035,2.8451,0.0825,93000,0.9994069722542246,0,train
B1:0.070542:94000,99,105,N=0.070542B,1,98,0.070542,197.132,2.8444,0.0834,94000,0.9995623826719068,0,train
B1:0.070542:95000,100,106,N=0.070542B,1,99,0.070542,199.229,2.8436,0.0843,95000,0.9997145215212343,0,train
B1:0.070542:96000,101,107,N=0.070542B,1,100,0.070542,201.327,2.8431,0.0852,96000,0.9998585246659896,0,train
B1:0.070542:97000,102,108,N=0.070542B,1,101,0.070542,203.424,2.842,0.0861,97000,1.0000044733301152,0,train
B1:0.070542:98000,103,109,N=0.070542B,1,102,0.070542,205.521,2.8412,0.087,98000,1.0001474436674647,0,train
B1:0.070542:99000,104,110,N=0.070542B,1,103,0.070542,207.618,2.8403,0.0879,99000,1.0002875259238442,0,test
B1:0.070542:100000,105,111,N=0.070542B,1,104,0.070542,209.715,2.8392,0.0888,100000,1.0004248067354855,0,test
B1:0.070542:101000,106,112,N=0.070542B,1,105,0.070542,211.812,2.8388,0.0896,101000,0.9994439185058218,0,test
B1:0.070542:102000,107,113,N=0.070542B,1,106,0.070542,213.91,2.838,0.0905,102000,0.9995821048750915,0,test
B1:0.070542:103000,108,114,N=0.070542B,1,107,0.070542,216.007,2.8377,0.0914,103000,0.9997222351178734,0,test
B1:0.070542:104000,109,115,N=0.070542B,1,108,0.070542,218.104,2.8365,0.0923,104000,0.999859670745984,0,test
B1:0.070542:105000,110,116,N=0.070542B,1,109,0.070542,220.201,2.8358,0.0932,105000,0.9999944887428206,0,test
B1:0.070542:106000,111,117,N=0.070542B,1,110,0.070542,222.298,2.8351,0.0941,106000,1.000126763186954,0,test
B1:0.070542:107000,112,118,N=0.070542B,1,111,0.070542,224.395,2.8341,0.095,107000,1.0002565653878612,0,test
B1:0.070542:108000,113,119,N=0.070542B,1,112,0.070542,226.492,2.8338,0.0959,108000,1.0003839640141146,0,test
B1:0.070542:109000,114,120,N=0.070542B,1,113,0.070542,228.59,2.8331,0.0968,109000,1.0005046483431492,0,test
B1:0.070542:110000,115,121,N=0.070542B,1,114,0.070542,230.687,2.8324,0.0976,110000,0.9996032914155686,0,test
B1:0.070542:111000,116,122,N=0.070542B,1,115,0.070542,232.784,2.8314,0.0985,111000,0.9997331314611785,0,test
B1:0.070542:112000,117,123,N=0.070542B,1,116,0.070542,234.881,2.8311,0.0994,112000,0.9998606531023567,0,test
B1:0.070542:113000,118,124,N=0.070542B,1,117,0.070542,236.978,2.83,0.1003,113000,0.9999859178852478,0,test
B1:0.070542:114000,119,125,N=0.070542B,1,118,0.070542,239.075,2.8297,0.1012,114000,1.000108985196637,0,test
B1:0.070542:115000,120,126,N=0.070542B,1,119,0.070542,241.172,2.8293,0.1021,115000,1.000229912357826,0,test
B1:0.070542:116000,121,127,N=0.070542B,1,120,0.070542,243.27,2.8281,0.103,116000,1.0003446426211093,0,test
B1:0.070542:117000,122,128,N=0.070542B,1,121,0.070542,245.367,2.8275,0.1039,117000,1.000461488291877,0,test
B1:0.070542:118000,123,129,N=0.070542B,1,122,0.070542,247.464,2.827,0.1047,118000,0.9996216052425233,0,test
B1:0.070542:119000,124,130,N=0.070542B,1,123,0.070542,249.561,2.8263,0.1056,119000,0.9997425627682668,0,test
B1:0.070542:120000,125,131,N=0.070542B,1,124,0.070542,251.658,2.8255,0.1065,120000,0.9998615044794408,0,test
B1:0.070542:121000,126,132,N=0.070542B,1,125,0.070542,253.755,2.8251,0.1074,121000,0.9999784803513734,0,test
B1:0.070542:122000,127,133,N=0.070542B,1,126,0.070542,255.853,2.8243,0.1083,122000,1.0000896298610469,0,test
B1:0.070542:123000,128,134,N=0.070542B,1,127,0.070542,257.95,2.824,0.1092,123000,1.0002028488316113,0,test
B1:0.070542:124000,129,135,N=0.070542B,1,128,0.070542,260.047,2.8232,0.1101,124000,1.0003142418231694,0,test
B1:0.070542:125000,130,136,N=0.070542B,1,129,0.070542,262.144,2.823,0.111,125000,1.0004238526560418,0,test
B1:0.070542:126000,131,137,N=0.070542B,1,130,0.070542,264.241,2.822,0.1118,126000,0.9996375935327532,0,test
B1:0.070542:127000,132,138,N=0.070542B,1,131,0.070542,266.338,2.8215,0.1127,127000,0.9997508058931278,0,test
B1:0.070542:128000,133,139,N=0.070542B,1,132,0.070542,268.435,2.8212,0.1136,128000,0.9998622494355788,0,test
B1:0.070542:129000,134,140,N=0.070542B,1,133,0.070542,270.533,2.8202,0.1145,129000,0.9999682689894217,0,test
B1:0.070542:130000,135,141,N=0.070542B,1,134,0.070542,272.63,2.8199,0.1154,130000,1.0000763250625055,0,test
B1:0.070542:131000,136,142,N=0.070542B,1,135,0.070542,274.727,2.8196,0.1163,131000,1.0001827315446483,0,test
B1:0.070542:132000,137,143,N=0.070542B,1,136,0.070542,276.824,2.8185,0.1172,132000,1.000287525923844,0,test
B1:0.070542:133000,138,144,N=0.070542B,1,137,0.070542,278.921,2.8183,0.1181,133000,1.0003907445607103,0,test
B1:0.070542:134000,139,145,N=0.070542B,1,138,0.070542,281.018,2.8178,0.1189,134000,0.9996516727954821,0,test
B1:0.070542:135000,140,146,N=0.070542B,1,139,0.070542,283.116,2.8173,0.1198,135000,0.9997545407992356,0,test
B1:0.070542:136000,141,147,N=0.070542B,1,140,0.070542,285.213,2.8164,0.1207,136000,0.9998594010798667,0,test
B1:0.070542:137000,142,148,N=0.070542B,1,141,0.070542,287.31,2.8159,0.1216,137000,0.9999627306653709,0,test
B1:0.070542:138000,143,149,N=0.070542B,1,142,0.070542,289.407,2.8157,0.1225,138000,1.0000645628293143,0,test
B1:0.070542:139000,144,150,N=0.070542B,1,143,0.070542,291.504,2.8152,0.1234,139000,1.0001649298878197,0,test
B1:0.070542:140000,145,151,N=0.070542B,1,144,0.070542,293.601,2.8146,0.1243,140000,1.0002638632337584,0,test
B1:0.070542:141000,146,152,N=0.070542B,1,145,0.070542,295.698,2.8142,0.1252,141000,1.0003613933694864,0,test
B1:0.070542:142000,147,153,N=0.070542B,1,146,0.070542,297.796,2.8135,0.126,142000,0.9996608088039907,0,test
B1:0.070542:143000,148,154,N=0.070542B,1,147,0.070542,299.893,2.8131,0.1269,143000,0.9997611915112019,0,test
B1:0.162405:64,149,162,N=0.162405B,2,1,0.162405,0.134,4.5235,0.0001,64,0.7658514790353519,1,train
B1:0.162405:128,150,163,N=0.162405B,2,2,0.162405,0.268,4.1397,0.0003,128,1.1487772185530276,1,train
B1:0.162405:256,151,164,N=0.162405B,2,3,0.162405,0.537,3.8226,0.0005,256,0.9555316405096568,0,train
B1:0.162405:512,152,165,N=0.162405B,2,4,0.162405,1.074,3.5629,0.001,512,0.9555316405096568,0,train
B1:0.162405:1000,153,166,N=0.162405B,2,5,0.162405,2.097,3.3548,0.002,1000,0.9787706074462295,0,train
B1:0.162405:2000,154,167,N=0.162405B,2,6,0.162405,4.194,3.1771,0.0041,2000,1.0032398726323852,0,train
B1:0.162405:3000,155,168,N=0.162405B,2,7,0.162405,6.291,3.0883,0.0061,3000,0.9950834509036666,0,train
B1:0.162405:4000,156,169,N=0.162405B,2,8,0.162405,8.389,3.0304,0.0082,4000,1.0031202827083618,0,train
B1:0.162405:5000,157,170,N=0.162405B,2,9,0.162405,10.486,2.9888,0.0102,5000,0.9982508120785036,0,train
B1:0.162405:6000,158,171,N=0.162405B,2,10,0.162405,12.583,2.9568,0.0123,6000,1.0031601428483405,0,train
B1:0.162405:7000,159,172,N=0.162405B,2,11,0.162405,14.68,2.9311,0.0143,7000,0.9996761608498238,0,train
B1:0.162405:8000,160,173,N=0.162405B,2,12,0.162405,16.777,2.9098,0.0163,8000,0.9970631224348903,0,train
B1:0.162405:9000,161,174,N=0.162405B,2,13,0.162405,18.874,2.8916,0.0184,9000,1.0004680548424094,0,train
B1:0.162405:10000,162,175,N=0.162405B,2,14,0.162405,20.972,2.8757,0.0204,10000,0.9982508120785036,0,train
B1:0.162405:11000,163,176,N=0.162405B,2,15,0.162405,23.069,2.8619,0.0225,11000,1.000928609515621,0,train
B1:0.162405:12000,164,177,N=0.162405B,2,16,0.162405,25.166,2.8494,0.0245,12000,0.9990822560887945,0,train
B1:0.162405:13000,165,178,N=0.162405B,2,17,0.162405,27.263,2.8385,0.0266,13000,1.0012841623715687,0,train
B1:0.162405:14000,166,179,N=0.162405B,2,18,0.162405,29.36,2.8281,0.0286,14000,0.9996761608498238,0,train
B1:0.162405:15000,167,180,N=0.162405B,2,19,0.162405,31.457,2.8195,0.0307,15000,1.001544907160769,0,train
B1:0.162405:16000,168,181,N=0.162405B,2,20,0.162405,33.554,2.8106,0.0327,16000,1.0001215982705802,0,train
B1:0.162405:17000,169,182,N=0.162405B,2,21,0.162405,35.652,2.8025,0.0347,17000,0.9988377109891674,0,train
B1:0.162405:18000,170,183,N=0.162405B,2,22,0.162405,37.749,2.7952,0.0368,18000,1.0004415516753098,0,train
B1:0.162405:19000,171,184,N=0.162405B,2,23,0.162405,39.846,2.7888,0.0388,19000,0.9993010615370683,0,train
B1:0.162405:20000,172,185,N=0.162405B,2,24,0.162405,41.943,2.7823,0.0409,20000,1.0007213637558472,0,train
B1:0.162405:21000,173,186,N=0.162405B,2,25,0.162405,44.04,2.7766,0.0429,21000,0.9996761608498238,0,train
B1:0.162405:22000,174,187,N=0.162405B,2,26,0.162405,46.137,2.771,0.045,22000,1.0009503042207277,0,train
B1:0.162405:23000,175,188,N=0.162405B,2,27,0.162405,48.234,2.7656,0.047,23000,0.9999860295568782,0,train
B1:0.162405:24000,176,189,N=0.162405B,2,28,0.162405,50.332,2.7605,0.049,24000,0.9990822560887945,0,train
B1:0.162405:25000,177,190,N=0.162405B,2,29,0.162405,52.429,2.7557,0.0511,25000,1.0002272439960076,0,train
B1:0.162405:26000,178,191,N=0.162405B,2,30,0.162405,54.526,2.7514,0.0531,26000,0.9994020492844042,0,train
B1:0.162405:27000,179,192,N=0.162405B,2,31,0.162405,56.623,2.7474,0.0552,27000,1.0004503859083218,0,train
B1:0.162405:28000,180,193,N=0.162405B,2,32,0.162405,58.72,2.7432,0.0572,28000,0.9996761608498238,0,train
B1:0.162405:29000,181,194,N=0.162405B,2,33,0.162405,60.817,2.7391,0.0593,29000,1.0006427516501493,0,train
B1:0.162405:30000,182,195,N=0.162405B,2,34,0.162405,62.915,2.7356,0.0613,30000,0.9998978334407038,0,train
B1:0.162405:31000,183,196,N=0.162405B,2,35,0.162405,65.012,2.7321,0.0633,31000,0.9992163624367288,0,train
B1:0.162405:32000,184,197,N=0.162405B,2,36,0.162405,67.109,2.7285,0.0654,32000,1.0001066953276325,0,train
B1:0.162405:33000,185,198,N=0.162405B,2,37,0.162405,69.206,2.7254,0.0674,33000,0.9994601939218687,0,train
B1:0.162405:34000,186,199,N=0.162405B,2,38,0.162405,71.303,2.7222,0.0695,34000,1.0002909869509322,0,train
B1:0.162405:35000,187,200,N=0.162405B,2,39,0.162405,73.4,2.719,0.0715,35000,0.9996761608498236,0,train
B1:0.162405:36000,188,201,N=0.162405B,2,40,0.162405,75.497,2.7163,0.0736,36000,1.000454803083335,0,train
B1:0.162405:37000,189,202,N=0.162405B,2,41,0.162405,77.595,2.7135,0.0756,37000,0.9998558957690223,0,train
B1:0.162405:38000,190,203,N=0.162405B,2,42,0.162405,79.692,2.7109,0.0777,38000,1.0005888206369873,0,train
B1:0.162405:39000,191,204,N=0.162405B,2,43,0.162405,81.789,2.7082,0.0797,39000,1.000029420313459,0,train
B1:0.162405:40000,192,205,N=0.162405B,2,44,0.162405,83.886,2.7053,0.0817,40000,0.9994979880055344,0,train
B1:0.162405:41000,193,206,N=0.162405B,2,45,0.162405,85.983,2.7029,0.0838,41000,1.0001860168153907,0,train
B1:0.162405:42000,194,207,N=0.162405B,2,46,0.162405,88.08,2.7007,0.0858,42000,0.9996761608498238,0,train
B1:0.162405:43000,195,208,N=0.162405B,2,47,0.162405,90.178,2.6984,0.0879,43000,1.0003169543531456,0,train
B1:0.162405:44000,196,209,N=0.162405B,2,48,0.162405,92.275,2.6961,0.0899,44000,0.9998273017986745,0,train
B1:0.162405:45000,197,210,N=0.162405B,2,49,0.162405,94.372,2.6945,0.092,45000,1.0004468521963947,0,train
B1:0.162405:46000,198,211,N=0.162405B,2,50,0.162405,96.469,2.6918,0.094,46000,0.9999756636773776,0,train
B1:0.162405:47000,199,212,N=0.162405B,2,51,0.162405,98.566,2.6898,0.096,47000,0.9995245243096774,0,train
B1:0.162405:48000,200,213,N=0.162405B,2,52,0.162405,100.663,2.6878,0.0981,48000,1.0001116629259326,0,train
B1:0.162405:49000,201,214,N=0.162405B,2,53,0.162405,102.76,2.6858,0.1001,49000,0.9996761608498236,0,train
B1:0.162405:50000,202,215,N=0.162405B,2,54,0.162405,104.858,2.6837,0.1022,50000,1.0002272439960076,0,train
B1:0.162405:51000,203,216,N=0.162405B,2,55,0.162405,106.955,2.682,0.1042,51000,0.9998065571010997,0,train
B1:0.162405:52000,204,217,N=0.162405B,2,56,0.162405,109.052,2.68,0.1063,52000,1.0003431058279866,0,train
B1:0.162405:53000,205,218,N=0.162405B,2,57,0.162405,111.149,2.6783,0.1083,53000,0.9999361068526782,0,train
B1:0.162405:54000,206,219,N=0.162405B,2,58,0.162405,113.246,2.6765,0.1104,54000,1.0004503859083218,0,train
B1:0.162405:55000,207,220,N=0.162405B,2,59,0.162405,115.343,2.6749,0.1124,55000,1.0000562354576226,0,train
B1:0.162405:56000,208,221,N=0.162405B,2,60,0.162405,117.441,2.6736,0.1144,56000,0.9996676486934145,0,train
B1:0.162405:57000,209,222,N=0.162405B,2,61,0.162405,119.538,2.6713,0.1165,57000,1.0001595676036807,0,train
B1:0.162405:58000,210,223,N=0.162405B,2,62,0.162405,121.635,2.6702,0.1185,58000,0.9997908197149136,0,train
B1:0.162405:59000,211,224,N=0.162405B,2,63,0.162405,123.732,2.6683,0.1206,59000,1.0002639771282207,0,train
B1:0.162405:60000,212,225,N=0.162405B,2,64,0.162405,125.829,2.6669,0.1226,60000,0.9999057799223052,0,train
B1:0.162405:61000,213,226,N=0.162405B,2,65,0.162405,127.926,2.6657,0.1247,61000,1.0003615406082362,0,train
B1:0.162405:62000,214,227,N=0.162405B,2,66,0.162405,130.023,2.6641,0.1267,62000,1.0000133238555022,0,train
B1:0.162405:63000,215,228,N=0.162405B,2,67,0.162405,132.121,2.6625,0.1287,63000,0.9996685944814125,0,train
B1:0.162405:64000,216,229,N=0.162405B,2,68,0.162405,134.218,2.6611,0.1308,64000,1.0001066953276325,0,train
B1:0.162405:65000,217,230,N=0.162405B,2,69,0.162405,136.315,2.66,0.1328,65000,0.9997784719018373,0,train
B1:0.162405:66000,218,231,N=0.162405B,2,70,0.162405,138.412,2.6584,0.1349,66000,1.0002016332348669,0,train
B1:0.162405:67000,219,232,N=0.162405B,2,71,0.162405,140.509,2.6573,0.1369,67000,0.9998817899431294,0,train
B1:0.162405:68000,220,233,N=0.162405B,2,72,0.162405,142.606,2.656,0.139,68000,1.0002909869509322,0,train
B1:0.162405:69000,221,234,N=0.162405B,2,73,0.162405,144.703,2.6546,0.141,69000,0.9999791189466658,0,train
B1:0.162405:70000,222,235,N=0.162405B,2,74,0.162405,146.801,2.6538,0.143,70000,0.9996693511130995,0,train
B1:0.162405:71000,223,236,N=0.162405B,2,75,0.162405,148.898,2.6523,0.1451,71000,1.00006424851079,0,train
B1:0.162405:72000,224,237,N=0.162405B,2,76,0.162405,150.995,2.6507,0.1471,72000,0.9997685250410567,0,train
B1:0.162405:73000,225,238,N=0.162405B,2,77,0.162405,153.092,2.6499,0.1492,73000,1.0001512456599941,0,train
