budget_FLOPs,context_tokens,quality_family,producer_status,bridge_grade,upstream_conditional_loss,N_params_B,status,assumption_score,empirically_calibrated_score,transfer_error_sensitivity_lower,transfer_error_sensitivity_upper,assumption,joint_95_prediction_interval
1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,high,3.081021893272243,0.0997375699940856,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,logarithmic,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,exponential,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,exponential,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,power,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,power,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,logarithmic,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,131072,logarithmic,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,exponential,conditional_v8_fixed_policy_feasible,high,2.577496706647747,0.8122128055771555,same_coordinate_assumption_sensitivity_only,5.395860577946299,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.577496706647747,0.8122128055771555,same_coordinate_assumption_sensitivity_only,10.531073234073029,,0.0,28.808255373026782,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,power,conditional_v8_fixed_policy_feasible,high,2.586279464606168,0.8684954167804954,same_coordinate_assumption_sensitivity_only,5.388518183319308,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.586279464606168,0.8684954167804954,same_coordinate_assumption_sensitivity_only,10.416842435487053,,0.0,28.69402457444081,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,logarithmic,conditional_v8_fixed_policy_feasible,high,2.581223573710001,0.8362303263203807,same_coordinate_assumption_sensitivity_only,5.392743761715037,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,2048,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.581223573710001,0.8362303263203807,same_coordinate_assumption_sensitivity_only,10.482466263026355,,0.0,28.759648401980108,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,exponential,conditional_v8_fixed_policy_feasible,high,2.602298711536084,0.7416846693389103,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.602298711536084,0.7416846693389103,same_coordinate_assumption_sensitivity_only,10.211310285030207,,0.0,28.488492423983963,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,power,conditional_v8_fixed_policy_feasible,high,2.610613531462856,0.7894820241846896,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.610613531462856,0.7894820241846896,same_coordinate_assumption_sensitivity_only,10.106051405912092,,0.0,28.383233544865845,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,logarithmic,conditional_v8_fixed_policy_feasible,high,2.605821095820461,0.7620442227608601,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,8192,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.605821095820461,0.7620442227608601,same_coordinate_assumption_sensitivity_only,10.166601641807725,,0.0,28.44378378076148,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,exponential,conditional_v8_fixed_policy_feasible,high,2.8345491313352955,0.2992226435579769,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.8345491313352955,0.2992226435579769,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,power,conditional_v8_fixed_policy_feasible,high,2.8414015648309263,0.2885893769657387,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.8414015648309263,0.2885893769657387,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,logarithmic,conditional_v8_fixed_policy_feasible,high,2.837345207386047,0.294823027777206,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+20,131072,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.837345207386047,0.294823027777206,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,high,2.08036873083266,7.217669544123998,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.08036873083266,7.217669544123998,same_coordinate_assumption_sensitivity_only,18.999945960363046,,7.66281502048596,37.2771280993168,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,power,conditional_v8_fixed_policy_feasible,high,2.0809295649309942,7.291455104688068,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.0809295649309942,7.291455104688068,same_coordinate_assumption_sensitivity_only,18.987976810728803,,7.650845870851716,37.26515894968256,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,high,2.080601651298565,7.2483504789377635,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.080601651298565,7.2483504789377635,same_coordinate_assumption_sensitivity_only,18.994974342050853,,7.657843402173766,37.27215648100461,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,high,2.0938941263769477,6.598901990599592,same_coordinate_assumption_sensitivity_only,5.8150096379626275,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.0938941263769477,6.598901990599592,same_coordinate_assumption_sensitivity_only,18.71289930549014,,7.3757683656130535,36.990081444443895,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,power,conditional_v8_fixed_policy_feasible,high,2.094421151267308,6.660655431364221,same_coordinate_assumption_sensitivity_only,5.814536637644679,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.094421151267308,6.660655431364221,same_coordinate_assumption_sensitivity_only,18.701782232528515,,7.364651292651429,36.97896437148227,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,high,2.0941129377533003,6.624569551985024,same_coordinate_assumption_sensitivity_only,5.814813252246725,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.0941129377533003,6.624569551985024,same_coordinate_assumption_sensitivity_only,18.708283076720225,,7.371152136843138,36.98546521567398,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,high,2.2176260815641102,3.199313927343033,same_coordinate_assumption_sensitivity_only,5.704946881904337,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.2176260815641102,3.199313927343033,same_coordinate_assumption_sensitivity_only,16.241088990797966,,4.903958050920879,34.518271129751724,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,power,conditional_v8_fixed_policy_feasible,high,2.2179393990608167,3.213619683761294,same_coordinate_assumption_sensitivity_only,5.704670677863503,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.2179393990608167,3.213619683761294,same_coordinate_assumption_sensitivity_only,16.235177962348164,,4.8980470224710775,34.51236010130192,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,high,2.2177559355068994,3.2052463047632447,same_coordinate_assumption_sensitivity_only,5.70483240805037,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.2177559355068994,3.2052463047632447,same_coordinate_assumption_sensitivity_only,16.23863896389321,,4.901508024016122,34.515821102846964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,power,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,power,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,power,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,power,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,high,2.019541912019841,11.965825,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,2.019541912019841,11.965825,same_coordinate_assumption_sensitivity_only,20.332468084385887,,8.9953371445088,38.60965022333964,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
